model,dataset,source_id,method_key,conceptual_family,n_folds,near_perfect_base,primary_auc_error_effect_pct,accuracy_error_effect_pct,log_loss_effect_pct,primary_and_accuracy_same_sign,primary_and_log_loss_same_sign
bag8,APSFailure,source::APSFailure,adversarial_lgbm_both_ratio,M6_adversarial_validation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,adversarial_lgbm_cal_iso_both_ratio,M6_adversarial_validation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,adversarial_lgbm_cal_iso_feature,M6_adversarial_validation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,adversarial_lgbm_cal_platt_feature,M6_adversarial_validation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,adversarial_lgbm_feature,M6_adversarial_validation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,adversarial_logreg_feature,M6_adversarial_validation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,adversarial_reweight_lgbm_cal_iso_ratio_hard,M6_adversarial_validation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,adversarial_reweight_lgbm_cal_iso_ratio_hard_tempered,M6_adversarial_validation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,adversarial_reweight_lgbm_cal_iso_ratio_winsorize,M6_adversarial_validation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,adversarial_reweight_lgbm_ratio_hard,M6_adversarial_validation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,adversarial_reweight_lgbm_ratio_hard_tempered,M6_adversarial_validation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,adversarial_reweight_lgbm_ratio_normalize,M6_adversarial_validation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,adversarial_reweight_lgbm_ratio_winsorize,M6_adversarial_validation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,adversarial_reweight_lgbm_ratio_winsorize_tempered,M6_adversarial_validation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,adversarial_reweight_lgbm_raw_hard,M6_adversarial_validation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,adversarial_rf_feature,M6_adversarial_validation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,cluster_membership_k10_both,M20_cluster_membership,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,cluster_membership_k10_both_cumshift,M20_cluster_membership,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,cluster_membership_k10_feature,M20_cluster_membership,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,cluster_membership_k10_feature_cumshift,M20_cluster_membership,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,cluster_membership_k10_weight,M20_cluster_membership,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,cluster_membership_k15_both,M20_cluster_membership,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,cluster_membership_k5_both,M20_cluster_membership,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,cluster_membership_k5_feature,M20_cluster_membership,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,freq_ratio_log,M2_frequency_ratio,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,freq_ratio_log__sel_combined_intersection,M2_frequency_ratio,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,freq_ratio_log__sel_combined_union,M2_frequency_ratio,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,freq_ratio_v2_both_gated,M2_frequency_ratio,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,freq_ratio_v2_diff_gated,M2_frequency_ratio,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,freq_ratio_v2_ratio_gated,M2_frequency_ratio,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,freq_ratio_v2_ratio_ungated,M2_frequency_ratio,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,groupby_shift_cohen_d,M14b_groupby_shift_features,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,groupby_shift_cohen_d__sel_combined_intersection,M14b_groupby_shift_features,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,groupby_shift_cohen_d__sel_combined_union,M14b_groupby_shift_features,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,groupby_shift_cohen_d_min10,M14b_groupby_shift_features,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,groupby_shift_ratio_log,M14b_groupby_shift_features,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,groupby_shift_ratio_raw,M14b_groupby_shift_features,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_freq_combined,M1_frequency_encoding,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_freq_combined__sel_combined_intersection,M1_frequency_encoding,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_freq_combined__sel_combined_union,M1_frequency_encoding,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_freq_separate,M1_frequency_encoding,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_freq_separate__sel_combined_intersection,M1_frequency_encoding,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_freq_separate__sel_combined_union,M1_frequency_encoding,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_groupby_combined,M14_groupby_aggregation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_groupby_combined__sel_combined_intersection,M14_groupby_aggregation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_groupby_combined__sel_combined_union,M14_groupby_aggregation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_groupby_mean_only,M14_groupby_aggregation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_groupby_separate,M14_groupby_aggregation,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_pca_10,M3_joint_pca,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_pca_5,M3_joint_pca,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_pca_var90,M3_joint_pca,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_pca_var95,M3_joint_pca,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_scaling,M5_joint_scaling,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_tsne_2d_p30,M3b_joint_tsne,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_tsne_2d_p50,M3b_joint_tsne,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,joint_tsne_3d_p30,M3b_joint_tsne,3,True,,,,False,False
bag8,APSFailure,source::APSFailure,label_prop_k10_a05,M8_label_propagation,3,True,,,,False,False
