model,dataset,source_id,conceptual_family,available_configurations,finite_relative_configurations,selector_wrappers,median_effect_pct,mean_effect_pct,q1_effect_pct,q3_effect_pct,positive_configurations,zero_configurations,negative_configurations,best_configuration,best_effect_pct,worst_effect_pct
bag8,APSFailure,source::APSFailure,M14_groupby_aggregation,9,0,2,,,,,0,0,0,,,
bag8,APSFailure,source::APSFailure,M14b_groupby_shift_features,6,0,2,,,,,0,0,0,,,
bag8,APSFailure,source::APSFailure,M16_nearest_test_distance,7,0,0,,,,,0,0,0,,,
bag8,APSFailure,source::APSFailure,M17_test_directed_augmentation,12,0,0,,,,,0,0,0,,,
bag8,APSFailure,source::APSFailure,M18_leaf_density,8,0,0,,,,,0,0,0,,,
bag8,APSFailure,source::APSFailure,M19_neighborhood_consensus,6,0,0,,,,,0,0,0,,,
bag8,APSFailure,source::APSFailure,M1_frequency_encoding,6,0,4,,,,,0,0,0,,,
bag8,APSFailure,source::APSFailure,M20_cluster_membership,8,0,0,,,,,0,0,0,,,
bag8,APSFailure,source::APSFailure,M2_frequency_ratio,7,0,2,,,,,0,0,0,,,
bag8,APSFailure,source::APSFailure,M3_joint_pca,4,0,0,,,,,0,0,0,,,
bag8,APSFailure,source::APSFailure,M3b_joint_tsne,3,0,0,,,,,0,0,0,,,
bag8,APSFailure,source::APSFailure,M4_target_encoding,12,0,2,,,,,0,0,0,,,
bag8,APSFailure,source::APSFailure,M5_joint_scaling,1,0,0,,,,,0,0,0,,,
bag8,APSFailure,source::APSFailure,M6_adversarial_validation,16,0,0,,,,,0,0,0,,,
bag8,APSFailure,source::APSFailure,M7_pseudo_labeling,9,0,0,,,,,0,0,0,,,
bag8,APSFailure,source::APSFailure,M8_label_propagation,11,0,0,,,,,0,0,0,,,
bag8,APSFailure,source::APSFailure,M9_optimal_transport,9,0,0,,,,,0,0,0,,,
bag8,Amazon_employee_access,source::Amazon_employee_access,M14_groupby_aggregation,9,9,2,0.0,0.0,0.0,0.0,0,9,0,joint_groupby_combined,0.0,0.0
bag8,Amazon_employee_access,source::Amazon_employee_access,M14b_groupby_shift_features,6,6,2,0.0,0.0,0.0,0.0,0,6,0,groupby_shift_cohen_d,0.0,0.0
bag8,Amazon_employee_access,source::Amazon_employee_access,M16_nearest_test_distance,7,7,0,-3.2495504085456792,-3.4095136540801945,-3.3907567082588743,-2.868855620525882,0,0,7,nearest_test_k5_both,-2.285653157433398,-5.812167355012773
bag8,Amazon_employee_access,source::Amazon_employee_access,M17_test_directed_augmentation,12,12,0,2.838855525946024,3.090387706055966,2.766885556944976,2.838855525946024,12,0,0,tdda_k5_lam07_aug2,6.221670467987414,2.762306621228124
bag8,Amazon_employee_access,source::Amazon_employee_access,M18_leaf_density,8,8,0,-1.2436345054741196,-1.3213726469043041,-1.682091006284704,-0.9748560027608852,0,0,8,leaf_density_conf_shallow,-0.3201834300670006,-2.224406777257702
bag8,Amazon_employee_access,source::Amazon_employee_access,M19_neighborhood_consensus,6,6,0,-3.1598885261548197,-2.900075238175642,-3.4177486918940723,-2.8812431032704646,0,0,6,neighbor_consensus_k10_uniform,-0.8374099932106903,-3.9512010074173545
bag8,Amazon_employee_access,source::Amazon_employee_access,M1_frequency_encoding,6,6,4,6.495929748432011,6.539350874657312,5.928403185800409,7.2417555837980485,6,0,0,joint_freq_separate,7.565746215648774,5.448907674921139
bag8,Amazon_employee_access,source::Amazon_employee_access,M20_cluster_membership,8,8,0,-0.020039236085868606,-0.11393790964941403,-0.3750860562376094,0.18165030089360662,4,0,4,cluster_membership_k10_both_cumshift,0.3977961109412686,-0.7182744185390519
bag8,Amazon_employee_access,source::Amazon_employee_access,M2_frequency_ratio,7,7,2,3.9584679973637327,2.4214019600011203,0.0,4.223248074924735,4,3,0,freq_ratio_log__sel_combined_intersection,4.54484957279464,0.0
bag8,Amazon_employee_access,source::Amazon_employee_access,M3_joint_pca,4,4,0,0.0,0.0,0.0,0.0,0,4,0,joint_pca_10,0.0,0.0
bag8,Amazon_employee_access,source::Amazon_employee_access,M3b_joint_tsne,3,3,0,1.1513955356118082,1.0651893657572922,0.8152559637741632,1.3582258526676791,3,0,0,joint_tsne_3d_p30,1.56505616972355,0.4791163919365183
bag8,Amazon_employee_access,source::Amazon_employee_access,M4_target_encoding,12,12,2,-13.49900286903086,-10.310794190460605,-15.890785653205965,-0.19509691198546214,3,0,9,target_enc_oof_diff,1.4038357389702782,-29.16184443013336
bag8,Amazon_employee_access,source::Amazon_employee_access,M5_joint_scaling,1,1,0,0.0,0.0,0.0,0.0,0,1,0,joint_scaling,0.0,0.0
