model,dataset,method_key,conceptual_family,n_folds,positive_folds,zero_folds,negative_folds,fold_pattern,mean_fold_percentage_effect_pct,dataset_effect_from_mean_errors_pct
bag8,APSFailure,adversarial_lgbm_both_ratio,M6_adversarial_validation,0,0,0,0,mixed,,
bag8,APSFailure,adversarial_lgbm_cal_iso_both_ratio,M6_adversarial_validation,0,0,0,0,mixed,,
bag8,APSFailure,adversarial_lgbm_cal_iso_feature,M6_adversarial_validation,0,0,0,0,mixed,,
bag8,APSFailure,adversarial_lgbm_cal_platt_feature,M6_adversarial_validation,0,0,0,0,mixed,,
bag8,APSFailure,adversarial_lgbm_feature,M6_adversarial_validation,0,0,0,0,mixed,,
bag8,APSFailure,adversarial_logreg_feature,M6_adversarial_validation,0,0,0,0,mixed,,
bag8,APSFailure,adversarial_reweight_lgbm_cal_iso_ratio_hard,M6_adversarial_validation,0,0,0,0,mixed,,
bag8,APSFailure,adversarial_reweight_lgbm_cal_iso_ratio_hard_tempered,M6_adversarial_validation,0,0,0,0,mixed,,
bag8,APSFailure,adversarial_reweight_lgbm_cal_iso_ratio_winsorize,M6_adversarial_validation,0,0,0,0,mixed,,
bag8,APSFailure,adversarial_reweight_lgbm_ratio_hard,M6_adversarial_validation,0,0,0,0,mixed,,
bag8,APSFailure,adversarial_reweight_lgbm_ratio_hard_tempered,M6_adversarial_validation,0,0,0,0,mixed,,
bag8,APSFailure,adversarial_reweight_lgbm_ratio_normalize,M6_adversarial_validation,0,0,0,0,mixed,,
bag8,APSFailure,adversarial_reweight_lgbm_ratio_winsorize,M6_adversarial_validation,0,0,0,0,mixed,,
bag8,APSFailure,adversarial_reweight_lgbm_ratio_winsorize_tempered,M6_adversarial_validation,0,0,0,0,mixed,,
bag8,APSFailure,adversarial_reweight_lgbm_raw_hard,M6_adversarial_validation,0,0,0,0,mixed,,
bag8,APSFailure,adversarial_rf_feature,M6_adversarial_validation,0,0,0,0,mixed,,
bag8,APSFailure,cluster_membership_k10_both,M20_cluster_membership,0,0,0,0,mixed,,
bag8,APSFailure,cluster_membership_k10_both_cumshift,M20_cluster_membership,0,0,0,0,mixed,,
bag8,APSFailure,cluster_membership_k10_feature,M20_cluster_membership,0,0,0,0,mixed,,
bag8,APSFailure,cluster_membership_k10_feature_cumshift,M20_cluster_membership,0,0,0,0,mixed,,
bag8,APSFailure,cluster_membership_k10_weight,M20_cluster_membership,0,0,0,0,mixed,,
bag8,APSFailure,cluster_membership_k15_both,M20_cluster_membership,0,0,0,0,mixed,,
bag8,APSFailure,cluster_membership_k5_both,M20_cluster_membership,0,0,0,0,mixed,,
bag8,APSFailure,cluster_membership_k5_feature,M20_cluster_membership,0,0,0,0,mixed,,
bag8,APSFailure,freq_ratio_log,M2_frequency_ratio,0,0,0,0,mixed,,
bag8,APSFailure,freq_ratio_log__sel_combined_intersection,M2_frequency_ratio,0,0,0,0,mixed,,
bag8,APSFailure,freq_ratio_log__sel_combined_union,M2_frequency_ratio,0,0,0,0,mixed,,
bag8,APSFailure,freq_ratio_v2_both_gated,M2_frequency_ratio,0,0,0,0,mixed,,
bag8,APSFailure,freq_ratio_v2_diff_gated,M2_frequency_ratio,0,0,0,0,mixed,,
bag8,APSFailure,freq_ratio_v2_ratio_gated,M2_frequency_ratio,0,0,0,0,mixed,,
bag8,APSFailure,freq_ratio_v2_ratio_ungated,M2_frequency_ratio,0,0,0,0,mixed,,
bag8,APSFailure,groupby_shift_cohen_d,M14b_groupby_shift_features,0,0,0,0,mixed,,
bag8,APSFailure,groupby_shift_cohen_d__sel_combined_intersection,M14b_groupby_shift_features,0,0,0,0,mixed,,
bag8,APSFailure,groupby_shift_cohen_d__sel_combined_union,M14b_groupby_shift_features,0,0,0,0,mixed,,
bag8,APSFailure,groupby_shift_cohen_d_min10,M14b_groupby_shift_features,0,0,0,0,mixed,,
bag8,APSFailure,groupby_shift_ratio_log,M14b_groupby_shift_features,0,0,0,0,mixed,,
bag8,APSFailure,groupby_shift_ratio_raw,M14b_groupby_shift_features,0,0,0,0,mixed,,
bag8,APSFailure,joint_freq_combined,M1_frequency_encoding,0,0,0,0,mixed,,
bag8,APSFailure,joint_freq_combined__sel_combined_intersection,M1_frequency_encoding,0,0,0,0,mixed,,
bag8,APSFailure,joint_freq_combined__sel_combined_union,M1_frequency_encoding,0,0,0,0,mixed,,
bag8,APSFailure,joint_freq_separate,M1_frequency_encoding,0,0,0,0,mixed,,
bag8,APSFailure,joint_freq_separate__sel_combined_intersection,M1_frequency_encoding,0,0,0,0,mixed,,
bag8,APSFailure,joint_freq_separate__sel_combined_union,M1_frequency_encoding,0,0,0,0,mixed,,
bag8,APSFailure,joint_groupby_combined,M14_groupby_aggregation,0,0,0,0,mixed,,
bag8,APSFailure,joint_groupby_combined__sel_combined_intersection,M14_groupby_aggregation,0,0,0,0,mixed,,
bag8,APSFailure,joint_groupby_combined__sel_combined_union,M14_groupby_aggregation,0,0,0,0,mixed,,
bag8,APSFailure,joint_groupby_mean_only,M14_groupby_aggregation,0,0,0,0,mixed,,
bag8,APSFailure,joint_groupby_separate,M14_groupby_aggregation,0,0,0,0,mixed,,
bag8,APSFailure,joint_pca_10,M3_joint_pca,0,0,0,0,mixed,,
bag8,APSFailure,joint_pca_5,M3_joint_pca,0,0,0,0,mixed,,
bag8,APSFailure,joint_pca_var90,M3_joint_pca,0,0,0,0,mixed,,
bag8,APSFailure,joint_pca_var95,M3_joint_pca,0,0,0,0,mixed,,
bag8,APSFailure,joint_scaling,M5_joint_scaling,0,0,0,0,mixed,,
bag8,APSFailure,joint_tsne_2d_p30,M3b_joint_tsne,0,0,0,0,mixed,,
bag8,APSFailure,joint_tsne_2d_p50,M3b_joint_tsne,0,0,0,0,mixed,,
bag8,APSFailure,joint_tsne_3d_p30,M3b_joint_tsne,0,0,0,0,mixed,,
bag8,APSFailure,label_prop_k10_a05,M8_label_propagation,0,0,0,0,mixed,,
bag8,APSFailure,label_prop_k15_a05,M8_label_propagation,0,0,0,0,mixed,,
bag8,APSFailure,label_prop_k15_a08,M8_label_propagation,0,0,0,0,mixed,,
bag8,APSFailure,label_prop_v3_adaptive,M8_label_propagation,0,0,0,0,mixed,,
bag8,APSFailure,label_prop_v3_t005_k10,M8_label_propagation,0,0,0,0,mixed,,
bag8,APSFailure,label_prop_v3_t005_k15,M8_label_propagation,0,0,0,0,mixed,,
bag8,APSFailure,label_prop_v3_t01_k15,M8_label_propagation,0,0,0,0,mixed,,
bag8,APSFailure,label_prop_weighted_adaptive_a05,M8_label_propagation,0,0,0,0,mixed,,
bag8,APSFailure,label_prop_weighted_k10_a05,M8_label_propagation,0,0,0,0,mixed,,
bag8,APSFailure,label_prop_weighted_k15_a05,M8_label_propagation,0,0,0,0,mixed,,
bag8,APSFailure,label_prop_weighted_k15_a08,M8_label_propagation,0,0,0,0,mixed,,
bag8,APSFailure,leaf_density_conf,M18_leaf_density,0,0,0,0,mixed,,
bag8,APSFailure,leaf_density_conf_cumshift,M18_leaf_density,0,0,0,0,mixed,,
bag8,APSFailure,leaf_density_conf_deep,M18_leaf_density,0,0,0,0,mixed,,
