model,dataset,n_folds,configurations,all_positive_configurations,all_negative_configurations,all_zero_configurations,mixed_configurations,positive_dataset_average_configurations,negative_dataset_average_configurations,exact_configuration_median_by_fold_pct,family_balanced_median_by_fold_pct,family_balanced_positive_folds,family_balanced_zero_folds,family_balanced_negative_folds
bag8,APSFailure,0,133,0,0,0,133,0,0,0:nan;1:nan;2:nan,0:nan;1:nan;2:nan,0,0,0
bag8,Amazon_employee_access,3,134,34,33,26,41,48,60,0:0.000000000;1:-0.287735013;2:0.008702053,0:0.000000000;1:0.000000000;2:0.000000000,0,3,0
bag8,Another-Dataset-on-used-Fiat-500,3,125,5,40,19,61,23,83,0:0.000000000;1:-0.122467119;2:-0.565461585,0:0.000000000;1:-0.032554004;2:-0.586127412,0,1,2
bag8,Bank_Customer_Churn,3,134,19,34,11,70,48,75,0:0.000000000;1:0.000000000;2:-0.066299020,0:0.000000000;1:0.000000000;2:-0.066299020,0,2,1
bag8,Bioresponse,3,132,1,58,26,47,9,97,0:-0.721031434;1:-0.496982606;2:-1.059543046,0:-0.884218323;1:-0.437195224;2:-1.297837959,0,0,3
bag8,Diabetes130US,3,134,37,41,1,55,62,71,0:-0.037305499;1:0.068570193;2:-0.093050243,0:0.000000000;1:0.026230916;2:0.000000000,1,2,0
bag8,E-CommereShippingData,3,134,4,22,3,105,34,97,0:-0.780531531;1:0.520823934;2:-0.582159878,0:-0.853321501;1:0.619173330;2:-0.731110221,1,0,2
bag8,Fitness_Club,3,134,9,38,4,83,39,91,0:-0.881761696;1:-1.005191128;2:0.379540476,0:-0.785818713;1:-0.887210949;2:0.534922818,1,0,2
bag8,Food_Delivery_Time,3,122,7,76,3,36,28,91,0:-0.091110823;1:-0.072829046;2:-0.077297992,0:-0.066129392;1:-0.064221061;2:-0.080767079,0,0,3
bag8,GiveMeSomeCredit,3,134,10,38,21,65,45,68,0:-0.000078468;1:-0.034488543;2:0.000000000,0:0.000000000;1:-0.056351415;2:0.000000000,0,2,1
bag8,HR_Analytics_Job_Change_of_Data_Scientists,3,134,29,22,2,81,74,58,0:-0.255721452;1:0.135252992;2:0.244127221,0:-0.147229339;1:0.149842588;2:0.304994281,2,0,1
bag8,Is-this-a-good-customer,3,134,35,23,3,73,72,59,0:0.698525870;1:0.000000000;2:0.000000000,0:0.419115522;1:-0.240577386;2:0.000000000,1,1,1
bag8,MIC,3,134,63,10,1,60,103,30,0:6.013685991;1:3.618890661;2:3.246329566,0:5.161039839;1:2.830286371;2:2.209899793,3,0,0
bag8,Marketing_Campaign,3,134,24,38,3,69,60,71,0:-3.495044340;1:2.146301305;2:-1.913755641,0:-2.837767345;1:3.022462660;2:-0.902557246,1,0,2
bag8,NATICUSdroid,0,134,0,0,0,134,0,0,0:nan;1:nan;2:nan,0:nan;1:nan;2:nan,0,0,0
bag8,QSAR-TID-11,3,125,5,59,37,24,12,76,0:-0.001830436;1:-0.052355429;2:-0.119672757,0:0.000000000;1:-0.000155681;2:-0.193351355,0,1,2
