model,dataset,method_key,conceptual_family,n_folds,median_features_in,median_features_out,feature_count_change,feature_path_observably_active,interpretation,primary_effect_pct
bag8,APSFailure,adversarial_lgbm_both_ratio,M6_adversarial_validation,3,170.0,171.0,1.0,True,feature output changed,
bag8,APSFailure,adversarial_lgbm_cal_iso_both_ratio,M6_adversarial_validation,3,170.0,171.0,1.0,True,feature output changed,
bag8,APSFailure,adversarial_lgbm_cal_iso_feature,M6_adversarial_validation,3,170.0,171.0,1.0,True,feature output changed,
bag8,APSFailure,adversarial_lgbm_cal_platt_feature,M6_adversarial_validation,3,170.0,171.0,1.0,True,feature output changed,
bag8,APSFailure,adversarial_lgbm_feature,M6_adversarial_validation,3,170.0,171.0,1.0,True,feature output changed,
bag8,APSFailure,adversarial_logreg_feature,M6_adversarial_validation,3,170.0,171.0,1.0,True,feature output changed,
bag8,APSFailure,adversarial_reweight_lgbm_cal_iso_ratio_hard,M6_adversarial_validation,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,adversarial_reweight_lgbm_cal_iso_ratio_hard_tempered,M6_adversarial_validation,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,adversarial_reweight_lgbm_cal_iso_ratio_winsorize,M6_adversarial_validation,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,adversarial_reweight_lgbm_ratio_hard,M6_adversarial_validation,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,adversarial_reweight_lgbm_ratio_hard_tempered,M6_adversarial_validation,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,adversarial_reweight_lgbm_ratio_normalize,M6_adversarial_validation,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,adversarial_reweight_lgbm_ratio_winsorize,M6_adversarial_validation,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,adversarial_reweight_lgbm_ratio_winsorize_tempered,M6_adversarial_validation,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,adversarial_reweight_lgbm_raw_hard,M6_adversarial_validation,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,adversarial_rf_feature,M6_adversarial_validation,3,170.0,171.0,1.0,True,feature output changed,
bag8,APSFailure,cluster_membership_k10_both,M20_cluster_membership,3,170.0,173.0,3.0,True,feature output changed,
bag8,APSFailure,cluster_membership_k10_both_cumshift,M20_cluster_membership,3,170.0,173.0,3.0,True,feature output changed,
bag8,APSFailure,cluster_membership_k10_feature,M20_cluster_membership,3,170.0,173.0,3.0,True,feature output changed,
bag8,APSFailure,cluster_membership_k10_feature_cumshift,M20_cluster_membership,3,170.0,173.0,3.0,True,feature output changed,
bag8,APSFailure,cluster_membership_k10_weight,M20_cluster_membership,3,170.0,171.0,1.0,True,feature output changed,
bag8,APSFailure,cluster_membership_k15_both,M20_cluster_membership,3,170.0,173.0,3.0,True,feature output changed,
bag8,APSFailure,cluster_membership_k5_both,M20_cluster_membership,3,170.0,173.0,3.0,True,feature output changed,
bag8,APSFailure,cluster_membership_k5_feature,M20_cluster_membership,3,170.0,173.0,3.0,True,feature output changed,
bag8,APSFailure,freq_ratio_log,M2_frequency_ratio,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,freq_ratio_log__sel_combined_intersection,M2_frequency_ratio,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,freq_ratio_log__sel_combined_union,M2_frequency_ratio,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,freq_ratio_v2_both_gated,M2_frequency_ratio,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,freq_ratio_v2_diff_gated,M2_frequency_ratio,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,freq_ratio_v2_ratio_gated,M2_frequency_ratio,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,freq_ratio_v2_ratio_ungated,M2_frequency_ratio,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,groupby_shift_cohen_d,M14b_groupby_shift_features,3,170.0,2066.0,1896.0,True,feature output changed,
bag8,APSFailure,groupby_shift_cohen_d__sel_combined_intersection,M14b_groupby_shift_features,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,groupby_shift_cohen_d__sel_combined_union,M14b_groupby_shift_features,3,170.0,300.0,130.0,True,feature output changed,
bag8,APSFailure,groupby_shift_cohen_d_min10,M14b_groupby_shift_features,3,170.0,2066.0,1896.0,True,feature output changed,
bag8,APSFailure,groupby_shift_ratio_log,M14b_groupby_shift_features,3,170.0,2066.0,1896.0,True,feature output changed,
bag8,APSFailure,groupby_shift_ratio_raw,M14b_groupby_shift_features,3,170.0,2066.0,1896.0,True,feature output changed,
bag8,APSFailure,joint_freq_combined,M1_frequency_encoding,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,joint_freq_combined__sel_combined_intersection,M1_frequency_encoding,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,joint_freq_combined__sel_combined_union,M1_frequency_encoding,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,joint_freq_separate,M1_frequency_encoding,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,joint_freq_separate__sel_combined_intersection,M1_frequency_encoding,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,joint_freq_separate__sel_combined_union,M1_frequency_encoding,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,joint_groupby_combined,M14_groupby_aggregation,3,170.0,5858.0,5688.0,True,feature output changed,
bag8,APSFailure,joint_groupby_combined__sel_combined_intersection,M14_groupby_aggregation,3,170.0,170.0,0.0,False,"feature count alone does not show whether weights, rows or feature values changed",
bag8,APSFailure,joint_groupby_combined__sel_combined_union,M14_groupby_aggregation,3,170.0,560.0,390.0,True,feature output changed,
