model,dataset,method_key,method_role,family,dataset_family,task_type,n_folds,single_fold,n_train,n_test,n_features,n_cat,n_num,cat_frac,domain_auc,mean_ks,shift_bin,source_id,source_dataset,err_base_mean,err_method_mean,abs_delta_mean,near_perfect_base,relative_mask_reason,primary_effect_unmasked_pct,primary_effect_pct,sensitivity_effect_unmasked_pct,sensitivity_effect_pct
bag8,APSFailure,adversarial_lgbm_both_ratio,test_time_variant,M6_adversarial,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0079852747515041,-0.0001898755606002,True,near_perfect_baseline,-2.435738772965378,,-2.226839501427755,
bag8,APSFailure,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0080484417948087,-0.0002530426039048,True,near_perfect_baseline,-3.246050621758193,,-3.106652280414288,
bag8,APSFailure,adversarial_lgbm_cal_iso_feature,test_time_variant,M6_adversarial,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0079828524896556,-0.0001874532987517,True,near_perfect_baseline,-2.404665805574931,,-3.057190179841839,
bag8,APSFailure,adversarial_lgbm_cal_platt_feature,test_time_variant,M6_adversarial,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0079766797377971,-0.0001812805468932,True,near_perfect_baseline,-2.3254812544397865,,-2.940214126993624,
bag8,APSFailure,adversarial_lgbm_feature,test_time_variant,M6_adversarial,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0079831590970107,-0.0001877599061068,True,near_perfect_baseline,-2.408598989080033,,-2.2599741466594163,
bag8,APSFailure,adversarial_logreg_feature,test_time_variant,M6_adversarial,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0077576828528418,3.7716338062043775e-05,True,near_perfect_baseline,0.4838281804227956,,0.4949397737798905,
bag8,APSFailure,adversarial_reweight_lgbm_cal_iso_ratio_hard,test_time_variant,M6_adversarial,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0077566095039962,3.878968690769943e-05,True,near_perfect_baseline,0.4975971846696681,,0.7215225626514422,
bag8,APSFailure,adversarial_reweight_lgbm_cal_iso_ratio_hard_tempered,test_time_variant,M6_adversarial,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0080458730498621,-0.0002504738589582,True,near_perfect_baseline,-3.213098557550399,,-2.6742928131104224,
bag8,APSFailure,adversarial_reweight_lgbm_cal_iso_ratio_winsorize,test_time_variant,M6_adversarial,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0080069337882851,-0.0002115345973812,True,near_perfect_baseline,-2.713582617142688,,-2.590700261883686,
bag8,APSFailure,adversarial_reweight_lgbm_ratio_hard,test_time_variant,M6_adversarial,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0081295838695973,-0.0003341846786934,True,near_perfect_baseline,-4.286947602162258,,-4.287600744117495,
