specification,outcome,dataset_scope,task_scope,model,method_key,method_family,trait,trait_label,trait_group,availability_stage,n_datasets,n_unique_trait,n_unique_effect,rho,p_value,q_bh_block,q_bh_within_method,abs_rho,reportable_n,significant_bh05_block,significant_bh05_within_method
main82_primary,primary_effect_pct,main82,all,bag8,adversarial_lgbm_both_ratio,M6_adversarial,log10_n_train,log10(train rows),size,features_only,76,67,76,0.19304592975162388,0.0947611846165952,0.40144127757122844,0.5971475985075708,0.19304592975162388,True,False,False
main82_primary,primary_effect_pct,main82,all,bag8,adversarial_lgbm_both_ratio,M6_adversarial,log10_n_test,log10(test rows),size,features_only,76,67,76,0.1711511625702446,0.13933700505024538,0.48498515569974915,0.5971475985075708,0.1711511625702446,True,False,False
main82_primary,primary_effect_pct,main82,all,bag8,adversarial_lgbm_both_ratio,M6_adversarial,log10_n_total,log10(total rows),size,features_only,76,68,76,0.1993450468305459,0.08427158518608868,0.3801727562581083,0.5971475985075708,0.1993450468305459,True,False,False
main82_primary,primary_effect_pct,main82,all,bag8,adversarial_lgbm_both_ratio,M6_adversarial,log10_test_train_ratio,log10(test/train),size,features_only,76,51,76,-0.036237943252034215,0.7559667928544218,0.9333923717849161,0.9366202158136744,0.036237943252034215,True,False,False
main82_primary,primary_effect_pct,main82,all,bag8,adversarial_lgbm_both_ratio,M6_adversarial,log10_train_rows_per_feature,log10(train rows/feature),size,features_only,76,69,76,0.10190394953140501,0.38106372910851904,0.7490488278888205,0.803689064504166,0.10190394953140501,True,False,False
main82_primary,primary_effect_pct,main82,all,bag8,adversarial_lgbm_both_ratio,M6_adversarial,n_features,feature count,structure,features_only,76,43,76,0.19434411179451966,0.09251954206779427,0.3985457196766522,0.5971475985075708,0.19434411179451966,True,False,False
main82_primary,primary_effect_pct,main82,all,bag8,adversarial_lgbm_both_ratio,M6_adversarial,n_cat,categorical count,structure,features_only,76,21,76,0.07683476208797695,0.5094432034122671,0.8324113333693626,0.803689064504166,0.07683476208797695,True,False,False
main82_primary,primary_effect_pct,main82,all,bag8,adversarial_lgbm_both_ratio,M6_adversarial,n_num,numeric count,structure,features_only,76,39,76,0.06801213349305696,0.5593777018594892,0.8559106570771365,0.803689064504166,0.06801213349305696,True,False,False
main82_primary,primary_effect_pct,main82,all,bag8,adversarial_lgbm_both_ratio,M6_adversarial,cat_frac,categorical fraction,structure,features_only,76,38,76,0.011732646934310201,0.9198750433941129,0.978299949296525,0.9750675459977596,0.011732646934310201,True,False,False
main82_primary,primary_effect_pct,main82,all,bag8,adversarial_lgbm_both_ratio,M6_adversarial,train_missing_frac_sampled,train missing fraction,quality,features_only,76,18,76,-0.017052655765406922,0.8837568729318142,0.9671744377294199,0.9670446594742411,0.017052655765406922,True,False,False
