model,pair_label,pair_quality,joint_key,train_only_key,estimand,execution_n_datasets,near_perfect_datasets_masked,n_fold_cells,n_datasets,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent,t_p_positive_bh,t_p_positive_holm,t_p_negative_bh,t_p_negative_holm,sign_p_positive_bh,sign_p_positive_holm,sign_p_negative_bh,sign_p_negative_holm,positive_mean_ci,negative_mean_ci,reliable_positive_strict,consistently_harmful_strict,never_exceeds_inductive
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,direct_test_time_premium_pct,92,6,194,86,0.06159738329383981,0.0,0.0,0.0,0.9601463714394649,-0.10773990855032706,0.2309346751380067,27,38,21,0.5625,0.41180835884064537,0.7051987586661679,0.23575792207684343,0.7642420779231566,0.235439506810856,0.8438365962633654,-0.15410927801646673,0.20226411766260172,-1.8267587386839261,6.281499946988399,True,0.9712800742388834,1.0,0.8491578643590629,1.0,0.9762375553717341,1.0,0.8438365962633654,1.0,False,False,False,False,False
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,additive_test_time_premium_pct,92,6,194,86,0.06305667421077417,0.0,0.0,0.0,0.9601463714394649,-0.10574562055236443,0.23185896897391278,27,38,21,0.5625,0.41180835884064537,0.7051987586661679,0.22984818065410412,0.7701518193458958,0.235439506810856,0.8438365962633654,-0.15393415913212077,0.19975627350776318,-1.6888417868849974,6.3323279536396875,True,0.8276500495986178,1.0,0.855724243717662,1.0,0.9762375553717341,1.0,0.8438365962633654,1.0,False,False,False,False,False
bag8,groupby,same_hyperparameters,joint_groupby_combined,groupby_train_only,direct_test_time_premium_pct,87,6,187,81,-0.04383989464477814,0.0,0.0,2.582067811530962e-09,0.9551714776142014,-0.13820825847468649,0.05052846918513021,32,18,31,0.5079365079365079,0.37886176274011957,0.6362406400008651,0.820998533645398,0.179001466354602,0.5,0.5993467537479669,-0.33646832071590616,0.2532058665135002,-2.12299110253788,1.1802266881958912,True,0.9712800742388834,1.0,0.44750366588650503,1.0,0.9762375553717341,1.0,0.7491834421849586,1.0,False,False,False,False,False
bag8,groupby,same_hyperparameters,joint_groupby_combined,groupby_train_only,additive_test_time_premium_pct,87,6,187,81,-0.04923282296966952,0.0,0.0,2.582067822505493e-09,0.9551714776142014,-0.1466246465137156,0.048159000574376554,32,18,31,0.5079365079365079,0.37886176274011957,0.6362406400008651,0.8412762861447952,0.1587237138552048,0.5,0.5993467537479669,-0.3394797825087001,0.2541756321524307,-1.8787640660882214,1.2047419014324088,True,0.9684890089361599,1.0,0.45893701848924273,1.0,0.9762375553717341,1.0,0.7491834421849586,1.0,False,False,False,False,False
bag8,pca_10,same_hyperparameters,joint_pca_10,pca_train_only_10,direct_test_time_premium_pct,92,6,194,86,-0.728961180901313,-0.010104508997270329,-0.11130059744581262,0.042856645054299584,0.9601463714394649,-1.4814674853496466,0.02354512354702043,38,3,45,0.4578313253012048,0.3479206499330776,0.57083916532213,0.9712800742388834,0.028719925761116583,0.8100003017940409,0.2552049708406172,-1.5544254742364374,1.179451597708173,-22.304833843160594,3.227163144154239,True,0.9712800742388834,1.0,0.2871992576111658,0.2871992576111658,0.9762375553717341,1.0,0.4253416180676954,1.0,False,False,False,False,False
bag8,pca_10,same_hyperparameters,joint_pca_10,pca_train_only_10,additive_test_time_premium_pct,92,6,194,86,-0.7124573545907218,-0.010137799601061698,-0.11139783341492744,0.041230256625958486,0.9601463714394649,-1.4644565493903636,0.03954184020892004,38,3,45,0.4578313253012048,0.3479206499330776,0.57083916532213,0.9684890089361599,0.031510991063840116,0.8100003017940409,0.2552049708406172,-1.6325483215281955,1.1368635997562593,-22.450413739919554,3.405898289313406,True,0.9684890089361599,1.0,0.31510991063840116,0.31510991063840116,0.9762375553717341,1.0,0.4253416180676954,1.0,False,False,False,False,False
bag8,pca_5,same_hyperparameters,joint_pca_5,pca_train_only_5,direct_test_time_premium_pct,92,6,194,86,-0.3529322541101521,-0.04270362386239902,-0.11798778098691347,0.0,0.9601463714394649,-0.9160568121929009,0.21019230397259675,33,3,50,0.39759036144578314,0.2917368321525494,0.5109741557635599,0.8919290522357184,0.10807094776428162,0.9762375553717341,0.03920981240790382,-1.6804343415773482,0.7726414272485218,-19.158261133535344,7.615731468467473,True,0.9712800742388834,1.0,0.41951834946263844,0.9726385298785346,0.9762375553717341,1.0,0.2064217657696691,0.3920981240790382,False,False,False,False,False
bag8,pca_5,same_hyperparameters,joint_pca_5,pca_train_only_5,additive_test_time_premium_pct,92,6,194,86,-0.3312270557553654,-0.04271573380658286,-0.11982010359702376,0.0,0.9601463714394649,-0.9065792423242478,0.24412513081351706,33,3,50,0.39759036144578314,0.2917368321525494,0.5109741557635599,0.872213292457962,0.127786707542038,0.9762375553717341,0.03920981240790382,-1.6768776266102101,0.7906343637927222,-19.355661532917395,8.688872603451138,True,0.9684890089361599,1.0,0.45893701848924273,1.0,0.9762375553717341,1.0,0.2064217657696691,0.3920981240790382,False,False,False,False,False
bag8,pca_var90,same_hyperparameters,joint_pca_var90,pca_train_only_var90,direct_test_time_premium_pct,92,6,194,86,0.1140515138267948,-0.05919438297387971,-0.10649970607796493,0.0032408866939767967,0.9601463714394649,-0.7173130962045721,0.9454161238581616,34,3,49,0.40963855421686746,0.3028470377729893,0.5230723651221287,0.3928487325444194,0.6071512674555806,0.9607901875920962,0.06192652973090074,-1.2581242468710894,1.3064795370958022,-14.577340871863514,29.502347052063634,True,0.9712800742388834,1.0,0.7589390843194757,1.0,0.9762375553717341,1.0,0.2064217657696691,0.5573387675781066,False,False,False,False,False
bag8,pca_var90,same_hyperparameters,joint_pca_var90,pca_train_only_var90,additive_test_time_premium_pct,92,6,194,86,0.22706489403377655,-0.06035015303928919,-0.10732243695930796,0.0032394457950299825,0.9601463714394649,-0.8157360858155704,1.2698658738831234,34,3,49,0.40963855421686746,0.3028470377729893,0.5230723651221287,0.33307900475971786,0.6669209952402821,0.9607901875920962,0.06192652973090074,-1.2807389209672941,1.3116527424690338,-15.563119026962035,39.48561403325836,True,0.8276500495986178,1.0,0.8336512440503527,1.0,0.9762375553717341,1.0,0.2064217657696691,0.5573387675781066,False,False,False,False,False
