dataset,family,task_type,n_train,n_test,n_features,n_cat,n_num,cat_frac,n_classes,shift_description,mean_ks,mean_js,frac_sig_num,frac_sig_cat,domain_clf_acc,overall_shift_score,domain_auc,domain_auc_n
APSFailure,TabArena_IID,classification,60800,15200,170,0,170,0.0,2.0,"TabArena (IID, single random split)",0.0059871498851508,0.0,0.0,0.0,0.5053000000000001,0.0082935749425755,0.5018079,20000
Amazon_employee_access,TabArena_IID,classification,26215,6554,9,9,0,1.0,2.0,"TabArena (IID, single random split)",0.0,0.0457054060862735,0.0,0.0,,0.0659529669354596,0.49737705658520676,16554
Another-Dataset-on-used-Fiat-500,TabArena_IID,regression,1230,308,7,1,6,0.1428571428571428,,"TabArena (IID, single random split)",0.0313157709499172,0.0032846168334141,0.0,0.0,0.7997419518592157,0.2118464604995573,0.5250604059451488,1538
Bank_Customer_Churn,TabArena_IID,classification,8000,2000,10,4,6,0.4,2.0,"TabArena (IID, single random split)",0.0158125,8.347547944972281e-05,0.0,0.0,0.8,0.2053109850791004,0.49852406250000003,10000
Bioresponse,TabArena_IID,classification,3000,751,1776,0,1776,0.0,2.0,"TabArena (IID, single random split)",0.0098021704294174,0.0,0.0,0.0,0.6923469152241455,0.1972480004388542,0.5301520014716704,3751
Diabetes130US,TabArena_IID,classification,57214,14304,47,39,8,0.8297872340425532,2.0,"TabArena (IID, single random split)",0.0039252033937267,0.0007731468324749,0.0,0.0,0.49135,0.0016802851295466,0.5012846750000001,20000
E-CommereShippingData,TabArena_IID,classification,8799,2200,10,4,6,0.4,2.0,"TabArena (IID, single random split)",0.0144240392331084,0.0002095480338147,0.0,0.0,0.7999818099135971,0.2048966790584918,0.500688337854552,10999
Fitness_Club,TabArena_IID,classification,1200,300,6,3,3,0.5,2.0,"TabArena (IID, single random split)",0.0338611518035256,0.0009213456099474,0.0,0.0,0.8,0.2117302182827276,0.5044166666666666,1500
Food_Delivery_Time,TabArena_IID,regression,36360,9091,9,3,6,0.3333333333333333,,"TabArena (IID, single random split)",0.0079414057802949,0.0081591579897461,0.0,0.0,0.5229689549550366,0.0218843308144161,0.4998231287092426,19091
GiveMeSomeCredit,TabArena_IID,classification,120000,30000,10,0,10,0.0,2.0,"TabArena (IID, single random split)",0.0040447365644625,0.0,0.0,0.0,0.49115,0.0020223682822312,0.5044638750000001,20000
HR_Analytics_Job_Change_of_Data_Scientists,TabArena_IID,classification,15326,3832,12,10,2,0.8333333333333334,2.0,"TabArena (IID, single random split)",0.0155574144065088,0.0007711018879074,0.0,0.0,0.7229612719477385,0.1541975531463125,0.5006432616140332,13832
Is-this-a-good-customer,TabArena_IID,classification,1378,345,13,8,5,0.6153846153846154,2.0,"TabArena (IID, single random split)",0.0467264045771018,0.0022316526868972,0.0,0.0,0.7997674418604651,0.2164938554485009,0.5089344102652231,1723
MIC,TabArena_IID,classification,1359,340,111,94,17,0.8468468468468469,8.0,"TabArena (IID, single random split)",0.1023684174323937,0.0010686798828185,0.0,0.0,0.7992937706055874,0.2341660217521941,0.5315440298650391,1699
Marketing_Campaign,TabArena_IID,classification,1792,448,25,8,17,0.32,2.0,"TabArena (IID, single random split)",0.0318521792685864,0.0007331677817484,0.0,0.0,0.8,0.2109700471452039,0.4893010633270867,2240
NATICUSdroid,TabArena_IID,classification,5992,1499,86,86,0,1.0,2.0,"TabArena (IID, single random split)",0.0,7.431799889933429e-05,0.0,0.0,,0.0001072409796527,0.49094489359148274,7491
QSAR-TID-11,TabArena_IID,regression,4593,1149,1024,0,1024,0.0,,"TabArena (IID, single random split)",0.0053456712564641,0.0,0.0,0.0,0.7129859929707092,0.2156588285989412,0.5050515529554785,5742
QSAR_fish_toxicity,TabArena_IID,regression,725,182,6,0,6,0.0,,"TabArena (IID, single random split)",0.045171150688392,0.0,0.0,0.0,0.799344302106733,0.321929877450929,0.4678368023195609,907
SDSS17,TabArena_IID,classification,62442,15611,11,2,9,0.1818181818181818,3.0,"TabArena (IID, single random split)",0.0056937685466399,0.0429697652295248,0.0,0.0,0.49055,0.0225664005927591,0.503639075,20000
airfoil_self_noise,TabArena_IID,regression,1202,301,5,1,4,0.2,,"TabArena (IID, single random split)",0.0529488504762273,0.0259113209407707,0.0,0.0,0.7997342192691029,0.2299357875073463,0.5474124587140708,1503
anneal,TabArena_IID,classification,718,180,38,32,6,0.8421052631578947,5.0,"TabArena (IID, single random split)",0.0336531517590013,0.0017462141626032,0.0,0.0,0.7995530726256984,0.2117596955222747,0.43732935660019,898
bank-marketing,TabArena_IID,classification,36168,9043,13,8,5,0.6153846153846154,2.0,"TabArena (IID, single random split)",0.0053437601561689,5.186618059212142e-05,0.0,0.0,0.5255998894700963,0.0188727940232663,0.4965386712119099,19043
bike_sharing,real_shift,regression,8645,8734,11,7,4,0.6363636363636364,,temporal: 2011 for training and 2012 for testing,0.0462872471556019,0.000112064679204,0.75,0.1428571428571428,0.5212602760139414,0.0296565028924285,0.724417889739124,17379
blood-transfusion-service-center,TabArena_IID,classification,598,150,4,0,4,0.0,2.0,"TabArena (IID, single random split)",0.0393868450390189,0.0,0.0,0.0,0.7994630872483223,0.3191565097678317,0.5146430905695611,748
brfss_diabetes,real_shift,classification,233073,188062,17,11,6,0.6470588235294118,2.0,geographic: South and Midwest regions for training and Northeast and West regions for testing,0.0278607379887395,0.0026898156337331,1.0,1.0,0.5302,0.0307140486098747,0.6218414250000001,20000
churn,TabArena_IID,classification,4000,1000,19,4,15,0.2105263157894736,2.0,"TabArena (IID, single random split)",0.0261333333333333,0.0016652110368875,0.0,0.0,0.8,0.2095120784208213,0.47779124999999995,5000
coil2000_insurance_policies,TabArena_IID,classification,7857,1965,85,5,80,0.0588235294117647,2.0,"TabArena (IID, single random split)",0.009434077843747,0.0011207702371937,0.0,0.0,0.7988189963879087,0.2028964478963693,0.49985673924758933,9822
concrete_compressive_strength,TabArena_IID,regression,824,206,8,0,8,0.0,,"TabArena (IID, single random split)",0.0502123786407767,0.0,0.0,0.0,0.8,0.3251061893203884,0.5128188681237462,1030
credit-g,TabArena_IID,classification,800,200,20,13,7,0.65,2.0,"TabArena (IID, single random split)",0.0366071428571428,0.0023052467057262,0.0,0.0,0.8,0.2133112057266601,0.46668750000000003,1000
credit_card_clients_default,TabArena_IID,classification,24000,6000,23,3,20,0.1304347826086956,2.0,"TabArena (IID, single random split)",0.0089083333333333,7.979450427540045e-05,0.0,0.0,0.6252500000000001,0.0865078256393821,0.5084822083333334,16000
customer_satisfaction_in_airline,TabArena_IID,classification,103904,25976,21,16,5,0.7619047619047619,2.0,"TabArena (IID, single random split)",0.0063438979047851,2.966124765793874e-05,0.0,0.0,0.5035000000000001,0.0044622330426522,0.4966771,20000
diabetes,TabArena_IID,classification,614,154,8,0,8,0.0,2.0,"TabArena (IID, single random split)",0.0782684335208765,0.0,0.0,0.0,0.7942874119344708,0.3334216286949091,0.5164146241145119,768
diabetes_hospital,real_shift,classification,50000,10157,30,22,8,0.7333333333333333,2.0,institutional: emergency admissions for training and non-emergency admissions for testing,0.0569622287584916,0.0145793781950133,0.75,0.7272727272727273,0.5698000000000001,0.0725334308439866,0.9382547750000001,20000
diamonds,TabArena_IID,regression,43152,10788,9,3,6,0.3333333333333333,,"TabArena (IID, single random split)",0.0064925534544555,6.301857194053512e-05,0.0,0.0,0.4989499999999999,0.0021944964482338,0.500012025,20000
folktables_coverage,Folktables,classification,452009,419157,19,16,3,0.8421052631578947,2.0,temporal: 2014 for training and 2018 for testing,0.0153198007637392,0.0002805469703425,1.0,0.875,0.5013,0.0061082101489243,0.55100065,20000
folktables_coverage_covid,Folktables,classification,401596,396142,19,16,3,0.8421052631578947,2.0,temporal: 2019 for training and 2022 for testing,0.0219409140498816,0.002735748406657,1.0,0.875,0.5085500000000001,0.0143295343161255,0.6727981749999998,20000
folktables_employment,Folktables,classification,1143035,1172500,16,14,2,0.875,2.0,temporal: 2014 for training and 2018 for testing,0.0268211334088744,0.0002151889375422,1.0,0.7857142857142857,0.5096499999999999,0.0154772171187552,0.5412264,20000
folktables_income,Folktables,classification,568707,600551,10,7,3,0.7,2.0,temporal: 2014 for training and 2018 for testing,0.0202054476966708,0.0257718171702742,1.0,0.8571428571428571,0.5056499999999999,0.0228980723540485,0.6541794249999999,20000
folktables_mobility,Folktables,classification,227861,232758,20,15,5,0.75,2.0,temporal: 2014 for training and 2018 for testing,0.0427119057499453,0.0004324290507804,1.0,0.8,0.5377500000000001,0.0396119671647391,0.5783444999999999,20000
folktables_travel_time,Folktables,classification,498060,532427,16,14,2,0.875,2.0,temporal: 2014 for training and 2018 for testing,0.0224917765156315,0.0137122637511249,1.0,0.7857142857142857,0.5106499999999999,0.0211928642984403,0.657996475,20000
folktables_travel_time_covid,Folktables,classification,543164,557465,16,14,2,0.875,2.0,temporal: 2019 for training and 2022 for testing,0.0142218987079578,0.0240232998170675,1.0,0.9285714285714286,0.5034,0.0185625183365475,0.788992325,20000
gas_sensor_drift,real_shift,classification,5933,7977,128,0,128,0.0,6.0,"temporal sensor drift: batches 1 through 6 for training and batches 7 through 10 for testing",0.2156844866039522,0.0,1.0,0.0,0.8202012940330696,0.4280435373350457,0.9997012367140782,13910
hazelnut-spread-contaminant-detection,TabArena_IID,classification,1920,480,30,0,30,0.0,2.0,"TabArena (IID, single random split)",0.0430034722222222,0.0,0.0,0.0,0.8,0.3215017361111111,0.5092881944444444,2400
healthcare_insurance_expenses,TabArena_IID,regression,1070,268,6,3,3,0.5,,"TabArena (IID, single random split)",0.0656832659134235,0.0016327987131479,0.0,0.0,0.7997037285482698,0.2224822846363888,0.5250682484635931,1338
heloc,TabArena_IID,classification,8367,2092,23,0,23,0.0,2.0,"TabArena (IID, single random split)",0.0177986239441687,0.0,0.0,0.0,0.7999808886852786,0.308880200657363,0.5007809088419239,10459
hiva_agnostic,TabArena_IID,classification,3076,769,1617,1617,0,1.0,3.0,"TabArena (IID, single random split)",0.0,0.0001574382337239,0.0,0.0,,0.0002271835984472,0.496315651907474,3845
houses,TabArena_IID,regression,16512,4128,8,0,8,0.0,,"TabArena (IID, single random split)",0.0143910489341085,0.0,0.0,0.0,0.7077434943539448,0.214939018820999,0.48769799735857366,14128
in_vehicle_coupon_recommendation,TabArena_IID,classification,10147,2537,24,22,2,0.9166666666666666,2.0,"TabArena (IID, single random split)",0.0148968616209672,0.0002432403653901,0.0,0.0,0.7976390190401486,0.2035086319665061,0.49999674866825083,12537
jm1,TabArena_IID,classification,8708,2177,21,0,21,0.0,2.0,"TabArena (IID, single random split)",0.0156089518163831,0.0,0.0,0.0,0.7999081304547542,0.3077126063629458,0.5013936268693818,10885
kddcup09_appetency,TabArena_IID,classification,40000,10000,212,38,174,0.1792452830188679,2.0,"TabArena (IID, single random split)",0.0355100272725716,0.0302029515424852,0.0,0.0,0.4993999999999999,0.0263643099770935,0.502529275,20000
lending_club,real_shift,classification,50000,50000,21,9,12,0.4285714285714285,2.0,temporal: 2007 through 2014 for training and 2015 through 2018 for testing,0.0622442459135606,0.0134008240743826,1.0,1.0,0.6155999999999999,0.1042605514634343,0.9461647500000001,20000
maternal_health_risk,TabArena_IID,classification,811,203,6,0,6,0.0,3.0,"TabArena (IID, single random split)",0.03878222065645,0.0,0.0,0.0,0.7998049065990344,0.3191960169272593,0.4809925428071595,1014
miami_housing,TabArena_IID,regression,11020,2756,15,1,14,0.0666666666666666,,"TabArena (IID, single random split)",0.0174142973418732,7.859223931223319e-08,0.0,0.0,0.7839448295523668,0.1951013566184405,0.5000548768378967,12756
online_shoppers_intention,TabArena_IID,classification,9864,2466,17,6,11,0.3529411764705882,2.0,"TabArena (IID, single random split)",0.0162298164122981,0.0007600764567973,0.0,0.0,0.7999188969991889,0.2057214672782087,0.5085433381403395,12330
physiochemical_protein,TabArena_IID,regression,36584,9146,9,0,9,0.0,,"TabArena (IID, single random split)",0.0130870811769565,0.0,0.0,0.0,0.5221456153976763,0.0286891559861546,0.5001884949523016,19146
polish_companies_bankruptcy,TabArena_IID,classification,4728,1182,64,0,64,0.0,2.0,"TabArena (IID, single random split)",0.028469599510753,0.0,0.0,0.0,0.7976311336717428,0.3118659334271192,0.47972717373270213,5910
qsar-biodeg,TabArena_IID,classification,843,211,41,5,36,0.1219512195121951,2.0,"TabArena (IID, single random split)",0.0520357221163414,0.003827129857882,0.0,0.0,0.7950665763935906,0.2158971429370001,0.5242964850267431,1054
seismic-bumps,TabArena_IID,classification,2067,517,15,4,11,0.2666666666666666,2.0,"TabArena (IID, single random split)",0.0270932551506253,0.0005871669975303,0.0,0.0,0.7999227805017017,0.209262032992916,0.5032746248400783,2584
shifts_weather,real_shift,regression,50000,50000,122,0,122,0.0,,temporal and geographic: dev_in for training and dev_out for testing,0.1722711733109805,0.0,0.9918032786885246,0.0,0.9823,0.5684355866554903,0.99970015,20000
splice,TabArena_IID,classification,2552,638,60,60,0,1.0,3.0,"TabArena (IID, single random split)",0.0,0.0008143998880621,0.0,0.0,,0.0011751802136538,0.4935215615848055,3190
students_dropout_and_academic_success,TabArena_IID,classification,3539,885,36,17,19,0.4722222222222222,3.0,"TabArena (IID, single random split)",0.0241838594407484,0.0026469078359814,0.0,0.0,0.7997287624306567,0.2091536253762916,0.49900707249696524,4424
superconductivity,TabArena_IID,regression,17010,4253,81,0,81,0.0,,"TabArena (IID, single random split)",0.0148733486354602,0.0,0.0,0.0,0.7013962475462595,0.2088329218639896,0.49669162452478055,14253
synthetic_label_shift,synthetic,classification,50000,50000,8,3,5,0.375,2.0,synthetic label shift: P(Y=1) is approximately 0.43 in training and 0.65 in testing,0.01992,0.001067149557138,0.6,0.6666666666666666,0.52185,0.0217199661169495,0.54006835,20000
synthetic_large_test,synthetic,classification,5000,50000,8,3,5,0.375,2.0,synthetic covariate shift (strength=1.0),0.0878719999999999,0.0019006827324929,1.0,1.0,0.6721333333333334,0.1449604515307806,0.64072835,15000
synthetic_partial_shift,synthetic,classification,50000,50000,8,3,5,0.375,2.0,"synthetic partial covariate shift (strength=1.0, shifted features: ['AGEP', 'OCCP', 'SCHL'])",0.026568,0.0008476466783438,0.4,0.3333333333333333,0.5305500000000001,0.0296303851266685,0.5587177999999999,20000
synthetic_shift_0.0,synthetic,classification,10000,10000,8,3,5,0.375,2.0,synthetic covariate shift (strength=0.0),0.011,8.485800439280366e-05,0.0,0.0,0.50115,0.004474150074263,0.49784605,20000
synthetic_shift_0.5,synthetic,classification,10000,10000,8,3,5,0.375,2.0,synthetic covariate shift (strength=0.5),0.04362,0.0004273374407649,0.8,0.6666666666666666,0.5526,0.0498122161812241,0.5719888750000001,20000
synthetic_shift_1.0,synthetic,classification,10000,10000,8,3,5,0.375,2.0,synthetic covariate shift (strength=1.0),0.08208,0.0015103212096367,1.0,1.0,0.5999,0.0946864652283005,0.643362075,20000
synthetic_shift_3.0,synthetic,classification,10000,10000,8,3,5,0.375,2.0,synthetic covariate shift (strength=3.0),0.20872,0.0139512437173895,1.0,1.0,0.7431,0.2383505549386193,0.8405509999999999,20000
synthetic_shift_5.0,synthetic,classification,10000,10000,8,3,5,0.375,2.0,synthetic covariate shift (strength=5.0),0.30666,0.04169263066779,1.0,1.0,0.83245,0.3439075087387158,0.93479215,20000
synthetic_small_test,synthetic,classification,50000,5000,8,3,5,0.375,2.0,synthetic covariate shift (strength=1.0),0.0856239999999999,0.0013219839953126,1.0,1.0,0.6857333333333333,0.1529994304931758,0.6399588,15000
tabred_cooking_time,TabReD,regression,227391,41462,195,3,192,0.0153846153846153,,TabReD cooking-time natural gap. The validation window from 2023-12-21 to 2023-12-28 was dropped.,0.0408288722530207,0.0024021942219123,0.890625,1.0,0.6328500000000001,0.1033317473272034,0.7766422000000001,20000
tabred_delivery_eta,TabReD,regression,278825,37545,226,1,225,0.0044247787610619,,TabReD delivery-eta natural gap. The validation window from 2023-12-11 to 2023-12-18 was dropped. The test period was capped at 2023-12-25.,0.1211845880844909,4.46084747855863e-05,0.7111111111111111,0.0,0.8724999999999999,0.2887496527259921,0.9451160999999999,20000
