source_id,task_type,lightgbm_mean_improvement_pct,tabicl_mean_improvement_pct,tabpfn_mean_improvement_pct
source::Another-Dataset-on-used-Fiat-500,regression,-1.0014787307106348,-2.097065129760511,-0.929156121789115
source::Bank_Customer_Churn,classification,-0.6620533543633715,-3.6258973931217096,-1.2468931509967782
source::E-CommereShippingData,classification,-0.38181989723707255,-0.7235577985737083,-0.2242181482531479
source::Fitness_Club,classification,-1.7807076834857083,-1.5465372343472563,-2.2884998635346956
source::Is-this-a-good-customer,classification,-0.34265323933775477,-1.6079062026129094,-0.5622866968719593
source::MIC,classification,2.9828979147546955,-4.644941317959745,-10.509241862335166
source::Marketing_Campaign,classification,-1.6047187458232006,-5.386513310274237,-3.103317451198188
source::QSAR_fish_toxicity,regression,-1.3173921263970676,-2.4810929641289885,-0.9776777115892372
source::airfoil_self_noise,regression,-16.69992861178453,-19.951464502643965,-0.6831406199697008
source::bike_sharing,regression,-0.29584584629325333,-1.477700911295145,-0.2945620677337232
source::blood-transfusion-service-center,classification,-0.9058319052928314,-4.075423509976672,-2.8842258547158317
source::churn,classification,0.32325133274463685,-6.961196230660725,-0.061298079336503664
source::coil2000_insurance_policies,classification,-0.17130898104768483,-3.130206351131277,-1.1665634874708026
source::concrete_compressive_strength,regression,-5.742891603212031,-8.16623504526393,-3.147515652147582
source::credit-g,classification,-1.6782523330072643,-5.380046401562126,-0.5826824882123052
source::diabetes,classification,-1.3447125581379211,-3.8644643826543588,-3.0821934486016045
source::gas_sensor_drift,classification,-4.3762853988802215,-24.417203301706323,-8.28013897954892
source::healthcare_insurance_expenses,regression,-0.9711536824883812,-1.3270991996977215,4.582222448338443
source::heloc,classification,-0.22408339071706374,-0.602933603510881,-0.24736229906628546
source::jm1,classification,-0.873626707826423,-5.357370726999028,0.5119800223159812
source::maternal_health_risk,classification,-15.720029250673333,-29.236643261792956,-15.617736373777378
source::online_shoppers_intention,classification,-0.16656790645302583,-2.116863406661495,1.1666353224944364
source::qsar-biodeg,classification,-2.7199414289920987,-6.181257287300554,-1.319207399698135
source::seismic-bumps,classification,-1.78158720598291,-4.005993019361825,-0.7702795717619075
source::students_dropout_and_academic_success,classification,-0.9827750056021578,-2.562912314405434,-1.0272837117681302
source::synthetic_generator,classification,-1.7536559270668475,-2.06749548464707,-1.8049920877771455
source::tabred_delivery_eta,regression,-0.3000705916900031,-0.7077322307864423,-0.16788963972149906
source::tabred_homesite,classification,-4.85777127663543,-6.5485473519310515,-3.0197997814857405
source::tabred_weather,regression,-2.070312666460073,-2.274894805669978,-2.8696255476545116
source::taiwanese_bankruptcy_prediction,classification,-1.951229154855362,-1.2079004449313318,-1.6761174845488074
source::wine_quality,classification,-4.96965473986024,-10.318428485060316,-7.0100846574585525
