model,dataset,dataset_family,domain_auc,shift_bin,near_perfect_base,n_target_variants,n_harmful_excluded_using_other_datasets,n_variants_retained_with_relative_effect,mean_retained_pct,median_retained_pct,frac_retained_positive,profile_status,best_retained_variants
bag8,APSFailure,TabArena_IID,0.5018079,DAUC < 0.55,True,144,74,0,,,,absolute_only_near_perfect,
bag8,Amazon_employee_access,TabArena_IID,0.4973770565852067,DAUC < 0.55,False,144,74,70,-1.5150667213636828,0.0,0.4142857142857143,descriptive_correlated_variants_no_ci,joint_freq_separate:7.565746;freq_enc_train_only:7.549818;joint_freq_separate__sel_combined_union:7.368616;joint_freq_separate__sel_combined_intersection:6.861174;joint_freq_combined__sel_combined_union:6.130685
bag8,Another-Dataset-on-used-Fiat-500,TabArena_IID,0.5250604059451488,DAUC < 0.55,False,135,72,63,-0.060900874134535044,0.0,0.25396825396825395,descriptive_correlated_variants_no_ci,target_enc_oof_inv_ratio:0.325996;joint_scaling:0.240579;target_enc_oof_absolute:0.198085;target_enc_oof_ratio:0.158539;target_enc_oof_ratio_cap5:0.158539
bag8,Bank_Customer_Churn,TabArena_IID,0.4985240625,DAUC < 0.55,False,144,73,71,0.13989563230249802,0.0009652159651517,0.5352112676056338,descriptive_correlated_variants_no_ci,targeted_groupby_top3:0.911037;pseudo_label_lgbm_conf90_iter3:0.865281;target_enc_oof_absolute:0.784616;target_enc_oof_diff:0.784616;target_enc_oof_inv_ratio:0.784616
bag8,Bioresponse,TabArena_IID,0.5301520014716704,DAUC < 0.55,False,141,72,69,-1.4375245976640727,-0.15228503091724,0.057971014492753624,descriptive_correlated_variants_no_ci,adversarial_reweight_lgbm_ratio_winsorize_tempered:0.786075;adversarial_reweight_lgbm_ratio_hard_tempered:0.122720;train_only_scaling:0.070216;cluster_membership_k5_feature:0.007161;freq_enc_train_only:0.000000
bag8,Diabetes130US,TabArena_IID,0.5012846750000001,DAUC < 0.55,False,144,74,70,-0.07372998284258953,0.043717694293238754,0.5714285714285714,descriptive_correlated_variants_no_ci,groupby_train_only:1.320739;joint_groupby_combined:1.176573;joint_groupby_separate:1.155801;joint_groupby_combined__sel_combined_union:1.126698;joint_groupby_combined__sel_combined_intersection:1.072113
bag8,E-CommereShippingData,TabArena_IID,0.500688337854552,DAUC < 0.55,False,144,73,71,-0.28638903996097925,-0.2993890878858699,0.11267605633802817,descriptive_correlated_variants_no_ci,target_enc_oof_absolute:0.673271;target_enc_oof_diff:0.673271;target_enc_oof_inv_ratio:0.673271;target_enc_oof_ratio:0.673271;target_enc_oof_ratio_cap5:0.673271
bag8,Fitness_Club,TabArena_IID,0.5044166666666666,DAUC < 0.55,False,144,71,73,-0.11362132035112613,-0.0811034702953275,0.3424657534246575,descriptive_correlated_variants_no_ci,pseudo_label_lgbm_conf95_iter3:1.561674;cluster_membership_k10_weight:1.327260;pseudo_label_v2_cal_iso_wquad_conf90:1.072189;pseudo_label_v2_cal_iso_wprop_conf90:1.038799;adversarial_reweight_lgbm_raw_hard:1.005097
bag8,Food_Delivery_Time,TabArena_IID,0.4998231287092426,DAUC < 0.55,False,134,69,65,-0.18452918791414166,-0.0329147882613702,0.3076923076923077,descriptive_correlated_variants_no_ci,train_only_scaling:0.066340;target_enc_oof_absolute:0.063498;joint_scaling:0.037851;joint_groupby_separate:0.033118;groupby_train_only:0.025645
bag8,GiveMeSomeCredit,TabArena_IID,0.5044638750000001,DAUC < 0.55,False,144,75,69,-0.03922552213365756,0.0,0.30434782608695654,descriptive_correlated_variants_no_ci,joint_tsne_2d_p30:0.151323;train_only_scaling:0.140709;adversarial_reweight_lgbm_cal_iso_ratio_winsorize:0.139936;adversarial_reweight_lgbm_cal_iso_ratio_hard_tempered:0.121077;adversarial_reweight_lgbm_ratio_hard_tempered:0.119878
bag8,HR_Analytics_Job_Change_of_Data_Scientists,TabArena_IID,0.5006432616140332,DAUC < 0.55,False,144,73,71,0.26780070874730755,0.177576443990584,0.8591549295774648,descriptive_correlated_variants_no_ci,groupby_shift_cohen_d:0.905676;groupby_shift_cohen_d_min10:0.905676;target_enc_standard_m20:0.833835;joint_groupby_combined:0.809973;groupby_shift_ratio_log:0.807757
bag8,Is-this-a-good-customer,TabArena_IID,0.5089344102652231,DAUC < 0.55,False,144,71,73,1.9550217625915551,2.417370992523637,0.6986301369863014,descriptive_correlated_variants_no_ci,target_enc_absolute:6.738549;pseudo_label_v2_cal_iso_wfixed_conf90:6.700015;target_enc_standard_m20:6.214688;pseudo_label_v2_cal_iso_wprop_conf90:6.112203;joint_groupby_separate:5.800899
bag8,MIC,TabArena_IID,0.5315440298650391,DAUC < 0.55,False,144,73,71,5.670384815802164,7.006442825721082,0.8169014084507042,descriptive_correlated_variants_no_ci,groupby_shift_cohen_d_min10:15.728217;groupby_shift_cohen_d__sel_combined_union:14.046367;groupby_shift_ratio_log:12.985990;groupby_shift_cohen_d:12.941767;target_enc_ratio:12.196547
bag8,Marketing_Campaign,TabArena_IID,0.4893010633270867,DAUC < 0.55,False,144,73,71,1.0128007202806033,1.4116357504556338,0.7183098591549296,descriptive_correlated_variants_no_ci,target_enc_oof_absolute:5.688610;target_enc_diff:5.449131;target_enc_standard_m10:4.954212;target_enc_oof_ratio:4.920973;target_enc_oof_ratio_cap5:4.920973
bag8,NATICUSdroid,TabArena_IID,0.4909448935914827,DAUC < 0.55,True,144,74,0,,,,absolute_only_near_perfect,
bag8,QSAR-TID-11,TabArena_IID,0.5050515529554785,DAUC < 0.55,False,135,72,63,-0.23273079957886975,0.0,0.09523809523809523,descriptive_correlated_variants_no_ci,joint_tsne_2d_p30:2.327102;joint_tsne_2d_p50:1.705687;cluster_membership_k10_weight:0.441655;adversarial_reweight_lgbm_ratio_winsorize_tempered:0.086205;adversarial_reweight_lgbm_ratio_hard_tempered:0.071662
bag8,QSAR_fish_toxicity,TabArena_IID,0.4678368023195609,DAUC < 0.55,False,135,70,65,-0.06620413323745943,0.0,0.2923076923076923,descriptive_correlated_variants_no_ci,joint_tsne_2d_p50:1.009571;adversarial_reweight_lgbm_raw_hard:0.869516;joint_tsne_2d_p30:0.820473;cluster_membership_k10_weight:0.689421;adversarial_reweight_lgbm_ratio_winsorize_tempered:0.392938
bag8,SDSS17,TabArena_IID,0.503639075,DAUC < 0.55,True,144,74,0,,,,absolute_only_near_perfect,
bag8,airfoil_self_noise,TabArena_IID,0.5474124587140708,DAUC < 0.55,False,135,68,67,-3.4872076583628515,-0.0585398783426404,0.373134328358209,descriptive_correlated_variants_no_ci,joint_tsne_2d_p50:1.553763;joint_groupby_combined:1.183768;adversarial_reweight_lgbm_cal_iso_ratio_winsorize:0.990288;joint_groupby_separate:0.754240;adversarial_reweight_lgbm_ratio_winsorize_tempered:0.622630
bag8,anneal,TabArena_IID,0.43732935660019,DAUC < 0.55,True,144,74,0,,,,absolute_only_near_perfect,
bag8,bank-marketing,TabArena_IID,0.4965386712119099,DAUC < 0.55,False,144,75,69,0.03338753362368804,0.0429836552944881,0.6811594202898551,descriptive_correlated_variants_no_ci,joint_tsne_2d_p30:0.229833;cluster_membership_k5_feature:0.208650;pseudo_label_v2_cal_iso_wfixed_conf90:0.163705;cluster_membership_k10_weight:0.154053;pca_train_only_10:0.148213
bag8,bike_sharing,real_shift,0.724417889739124,0.55 <= DAUC < 0.75,False,135,72,63,-0.08853001346976729,-0.0083114609074403,0.25396825396825395,descriptive_correlated_variants_no_ci,joint_groupby_combined:0.146588;joint_groupby_combined__sel_combined_union:0.117311;freq_ratio_log__sel_combined_union:0.111245;groupby_train_only:0.109941;freq_enc_train_only:0.063844
bag8,blood-transfusion-service-center,TabArena_IID,0.5146430905695611,DAUC < 0.55,False,144,74,70,-0.018542785098184262,0.0,0.15714285714285714,descriptive_correlated_variants_no_ci,pca_train_only_10:2.116430;cluster_membership_k10_feature:1.674083;cluster_membership_k10_feature_cumshift:1.674083;pca_train_only_var95:1.612875;joint_tsne_2d_p50:1.249668
bag8,brfss_diabetes,real_shift,0.6218414250000001,0.55 <= DAUC < 0.75,False,137,68,69,0.010290068019594648,0.047858358711298,0.6376811594202898,descriptive_correlated_variants_no_ci,freq_ratio_v2_both_gated:0.130821;target_enc_oof_ratio:0.125272;target_enc_oof_ratio_cap5:0.125272;freq_ratio_v2_diff_gated:0.115834;target_enc_oof_diff:0.109507
bag8,churn,TabArena_IID,0.4777912499999999,DAUC < 0.55,False,144,75,69,0.4669480087378729,0.4673649813179885,0.6231884057971014,descriptive_correlated_variants_no_ci,pseudo_label_v2_cal_iso_wquad_conf90:3.886999;pseudo_label_lgbm_conf90_iter3:3.751690;pseudo_label_v2_cal_iso_wprop_conf90:3.575864;pseudo_label_v2_cal_platt_wprop_conf90:3.541149;pseudo_label_lgbm_conf90_iter1:2.839080
bag8,coil2000_insurance_policies,TabArena_IID,0.4998567392475893,DAUC < 0.55,False,144,75,69,0.9398175428331199,0.8586335728067845,0.8695652173913043,descriptive_correlated_variants_no_ci,pca_train_only_var95:4.558364;cluster_membership_k10_feature:2.239970;target_enc_absolute:2.121307;groupby_train_only:1.986507;joint_groupby_combined__sel_combined_union:1.977268
bag8,concrete_compressive_strength,TabArena_IID,0.5128188681237462,DAUC < 0.55,False,135,69,66,-1.3515594008828102,-0.0005940518927285,0.12121212121212122,descriptive_correlated_variants_no_ci,joint_tsne_2d_p30:1.222814;adversarial_reweight_lgbm_cal_iso_ratio_winsorize:0.726528;adversarial_reweight_lgbm_cal_iso_ratio_hard_tempered:0.625927;adversarial_reweight_lgbm_ratio_hard_tempered:0.570186;adversarial_reweight_lgbm_ratio_winsorize_tempered:0.492071
bag8,credit-g,TabArena_IID,0.4666875,DAUC < 0.55,False,144,70,74,0.8297717818105378,0.9814659163536712,0.6486486486486487,descriptive_correlated_variants_no_ci,target_enc_absolute:5.965521;target_enc_diff:5.766924;target_enc_standard_m10:5.766924;target_enc_standard_m5:5.719165;target_enc_standard_m20:5.555048
bag8,credit_card_clients_default,TabArena_IID,0.5084822083333334,DAUC < 0.55,False,144,73,71,0.06834323612454232,0.0696085291745785,0.7183098591549296,descriptive_correlated_variants_no_ci,target_enc_ratio__sel_combined_union:0.319045;freq_enc_train_only:0.311991;joint_freq_combined:0.311991;joint_freq_separate:0.311991;target_enc_absolute:0.296350
bag8,customer_satisfaction_in_airline,TabArena_IID,0.4966771,DAUC < 0.55,True,144,74,0,,,,absolute_only_near_perfect,
bag8,diabetes,TabArena_IID,0.5164146241145119,DAUC < 0.55,False,144,72,72,-0.1528676177800094,0.0,0.25,descriptive_correlated_variants_no_ci,pca_train_only_10:2.454533;pseudo_label_v2_cal_iso_wprop_conf85:2.363399;pseudo_label_v2_cal_iso_wquad_conf90:2.193078;pseudo_label_v2_cal_iso_wfixed_conf90:2.152597;cluster_membership_k5_feature:1.983231
bag8,diabetes_hospital,real_shift,0.938254775,0.75 <= DAUC < 0.95,False,143,71,72,-1.9683849748107027,-0.18137058657689825,0.3194444444444444,descriptive_correlated_variants_no_ci,groupby_shift_ratio_log:1.032721;groupby_shift_ratio_raw:0.889932;target_enc_standard_m5:0.704166;groupby_shift_cohen_d_min10:0.571899;groupby_shift_cohen_d:0.561015
bag8,diamonds,TabArena_IID,0.500012025,DAUC < 0.55,False,129,68,61,0.3210616531299894,0.3113795126259395,0.819672131147541,descriptive_correlated_variants_no_ci,joint_groupby_combined__sel_combined_union:0.793802;targeted_groupby_top3:0.766592;targeted_groupby_top3_shifted_agg:0.766592;targeted_groupby_top5:0.766592;targeted_groupby_top5_shifted_agg:0.766592
bag8,folktables_coverage,Folktables,0.55100065,0.55 <= DAUC < 0.75,False,137,68,69,0.04222994066472475,0.0657523553282494,0.7536231884057971,descriptive_correlated_variants_no_ci,pseudo_label_v2_cal_iso_wfixed_conf90:0.554951;pseudo_label_v2_cal_iso_wprop_conf90:0.542675;pseudo_label_v2_cal_iso_wquad_conf90:0.492614;pseudo_label_v2_cal_platt_wprop_conf90:0.455409;target_enc_oof_diff:0.191221
