model,method_key,n_datasets,skew_bias_true,excess_kurtosis_bias_true,shapiro_p,wilcoxon_one_sided_greater_p,t_interval_shape_caveat
bag8,joint_freq_combined,86,3.768795073953106,15.782788324080599,6.82106298892845e-16,0.00016788248702987685,Heavy skew or tails can impair t-interval coverage. The Wilcoxon result has the same direction but also relies on assumptions.
bag8,freq_enc_train_only,86,4.044608856205925,17.53684603972312,2.3570514923966137e-16,0.0018701011337729247,Heavy skew or tails can impair t-interval coverage. The Wilcoxon result has the same direction but also relies on assumptions.
bag8,joint_freq_separate,86,3.5319447813127702,15.558025078868958,8.12549254227253e-15,0.0017809585578643916,Heavy skew or tails can impair t-interval coverage. The Wilcoxon result has the same direction but also relies on assumptions.
bag8,joint_freq_combined__sel_combined_intersection,86,3.297765700922679,12.21667041603052,2.0816181081479025e-14,0.09726522805351223,Heavy skew or tails can impair t-interval coverage. The Wilcoxon result has the same direction but also relies on assumptions.
bag8,joint_freq_separate__sel_combined_intersection,86,3.3386380137370155,15.470355458782567,5.014706630524659e-14,0.0414630362631823,Heavy skew or tails can impair t-interval coverage. The Wilcoxon result has the same direction but also relies on assumptions.
tabpfn,joint_freq_separate__sel_combined_union,45,2.8195184697018325,10.208464706773078,1.5248282495559858e-08,0.07651541563686237,Heavy skew or tails can impair t-interval coverage. The Wilcoxon result has the same direction but also relies on assumptions.
tabpfn,freq_ratio_log__sel_combined_union,45,2.0195905241292054,6.290852353096307,4.3082056160663776e-07,0.1104444927380257,Heavy skew or tails can impair t-interval coverage. The Wilcoxon result has the same direction but also relies on assumptions.
tabpfn,freq_ratio_log__sel_combined_intersection,45,1.9587704546985445,2.9511801660784087,3.635740776244308e-08,0.0009851803896196998,Heavy skew or tails can impair t-interval coverage. The Wilcoxon result has the same direction but also relies on assumptions.
tabpfn,joint_freq_combined__sel_combined_intersection,45,1.9882917998106477,3.495783102061954,1.9870662665872453e-07,0.0012617452501331172,Heavy skew or tails can impair t-interval coverage. The Wilcoxon result has the same direction but also relies on assumptions.
tabpfn,target_enc_ratio__sel_combined_intersection,45,0.456447244330102,3.7005452457718624,3.1065444390666104e-06,0.0006428253026342645,Heavy skew or tails can impair t-interval coverage. The Wilcoxon result has the same direction but also relies on assumptions.
tabpfn,groupby_shift_cohen_d__sel_combined_intersection,40,2.0310288509877092,3.7968518210907067,2.5071364365672014e-07,0.0048909988272498595,Heavy skew or tails can impair t-interval coverage. The Wilcoxon result has the same direction but also relies on assumptions.
