model,method_key,dataset,dataset_family,n_folds,positive_folds,tie_folds,negative_folds,all_folds_positive,all_folds_nonnegative,mixed_positive_negative
bag8,freq_enc_train_only,Amazon_employee_access,TabArena_IID,3,3,0,0,True,True,False
bag8,freq_enc_train_only,Another-Dataset-on-used-Fiat-500,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,Bank_Customer_Churn,TabArena_IID,3,2,0,1,False,False,True
bag8,freq_enc_train_only,Bioresponse,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,Diabetes130US,TabArena_IID,3,3,0,0,True,True,False
bag8,freq_enc_train_only,E-CommereShippingData,TabArena_IID,3,1,0,2,False,False,True
bag8,freq_enc_train_only,Fitness_Club,TabArena_IID,3,2,0,1,False,False,True
bag8,freq_enc_train_only,Food_Delivery_Time,TabArena_IID,3,2,0,1,False,False,True
bag8,freq_enc_train_only,GiveMeSomeCredit,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,HR_Analytics_Job_Change_of_Data_Scientists,TabArena_IID,3,3,0,0,True,True,False
bag8,freq_enc_train_only,Is-this-a-good-customer,TabArena_IID,3,3,0,0,True,True,False
bag8,freq_enc_train_only,MIC,TabArena_IID,3,3,0,0,True,True,False
bag8,freq_enc_train_only,Marketing_Campaign,TabArena_IID,3,3,0,0,True,True,False
bag8,freq_enc_train_only,QSAR-TID-11,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,QSAR_fish_toxicity,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,airfoil_self_noise,TabArena_IID,3,1,0,2,False,False,True
bag8,freq_enc_train_only,bank-marketing,TabArena_IID,3,1,0,2,False,False,True
bag8,freq_enc_train_only,bike_sharing,real_shift,1,1,0,0,False,True,False
bag8,freq_enc_train_only,blood-transfusion-service-center,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,brfss_diabetes,real_shift,1,1,0,0,False,True,False
bag8,freq_enc_train_only,churn,TabArena_IID,3,1,0,2,False,False,True
bag8,freq_enc_train_only,coil2000_insurance_policies,TabArena_IID,3,1,0,2,False,False,True
bag8,freq_enc_train_only,concrete_compressive_strength,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,credit-g,TabArena_IID,3,3,0,0,True,True,False
bag8,freq_enc_train_only,credit_card_clients_default,TabArena_IID,3,3,0,0,True,True,False
bag8,freq_enc_train_only,diabetes,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,diabetes_hospital,real_shift,1,0,0,1,False,False,False
bag8,freq_enc_train_only,diamonds,TabArena_IID,3,3,0,0,True,True,False
bag8,freq_enc_train_only,folktables_coverage,Folktables,1,1,0,0,False,True,False
bag8,freq_enc_train_only,folktables_coverage_covid,Folktables,1,1,0,0,False,True,False
bag8,freq_enc_train_only,folktables_employment,Folktables,1,0,0,1,False,False,False
bag8,freq_enc_train_only,folktables_income,Folktables,1,1,0,0,False,True,False
bag8,freq_enc_train_only,folktables_mobility,Folktables,1,0,0,1,False,False,False
bag8,freq_enc_train_only,folktables_travel_time,Folktables,1,0,0,1,False,False,False
bag8,freq_enc_train_only,folktables_travel_time_covid,Folktables,1,0,0,1,False,False,False
bag8,freq_enc_train_only,gas_sensor_drift,real_shift,1,0,1,0,False,True,False
bag8,freq_enc_train_only,hazelnut-spread-contaminant-detection,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,healthcare_insurance_expenses,TabArena_IID,3,2,0,1,False,False,True
bag8,freq_enc_train_only,heloc,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,hiva_agnostic,TabArena_IID,3,2,0,1,False,False,True
bag8,freq_enc_train_only,houses,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,in_vehicle_coupon_recommendation,TabArena_IID,3,3,0,0,True,True,False
bag8,freq_enc_train_only,jm1,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,kddcup09_appetency,TabArena_IID,3,3,0,0,True,True,False
bag8,freq_enc_train_only,lending_club,real_shift,1,1,0,0,False,True,False
bag8,freq_enc_train_only,maternal_health_risk,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,miami_housing,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,online_shoppers_intention,TabArena_IID,3,3,0,0,True,True,False
bag8,freq_enc_train_only,physiochemical_protein,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,polish_companies_bankruptcy,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,qsar-biodeg,TabArena_IID,3,2,0,1,False,False,True
bag8,freq_enc_train_only,seismic-bumps,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,shifts_weather,real_shift,1,0,1,0,False,True,False
bag8,freq_enc_train_only,students_dropout_and_academic_success,TabArena_IID,3,2,0,1,False,False,True
bag8,freq_enc_train_only,superconductivity,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,synthetic_label_shift,synthetic,1,0,0,1,False,False,False
bag8,freq_enc_train_only,synthetic_large_test,synthetic,1,0,0,1,False,False,False
bag8,freq_enc_train_only,synthetic_partial_shift,synthetic,1,0,0,1,False,False,False
bag8,freq_enc_train_only,synthetic_shift_0.0,synthetic,1,0,0,1,False,False,False
bag8,freq_enc_train_only,synthetic_shift_0.5,synthetic,1,1,0,0,False,True,False
bag8,freq_enc_train_only,synthetic_shift_1.0,synthetic,1,1,0,0,False,True,False
bag8,freq_enc_train_only,synthetic_shift_3.0,synthetic,1,1,0,0,False,True,False
bag8,freq_enc_train_only,synthetic_shift_5.0,synthetic,1,1,0,0,False,True,False
bag8,freq_enc_train_only,synthetic_small_test,synthetic,1,0,0,1,False,False,False
bag8,freq_enc_train_only,tabred_cooking_time,TabReD,1,0,0,1,False,False,False
bag8,freq_enc_train_only,tabred_delivery_eta,TabReD,1,0,1,0,False,True,False
bag8,freq_enc_train_only,tabred_delivery_eta__gap_far,TabReD_gap,1,0,1,0,False,True,False
bag8,freq_enc_train_only,tabred_delivery_eta__gap_maxdiff,TabReD_gap,1,0,1,0,False,True,False
bag8,freq_enc_train_only,tabred_delivery_eta__gap_near,TabReD_gap,1,0,1,0,False,True,False
bag8,freq_enc_train_only,tabred_ecom_offers,TabReD,1,0,1,0,False,True,False
bag8,freq_enc_train_only,tabred_homesite,TabReD,1,1,0,0,False,True,False
bag8,freq_enc_train_only,tabred_homesite__gap_far,TabReD_gap,1,0,0,1,False,False,False
bag8,freq_enc_train_only,tabred_homesite__gap_near,TabReD_gap,1,1,0,0,False,True,False
bag8,freq_enc_train_only,tabred_sberbank,TabReD,1,0,0,1,False,False,False
bag8,freq_enc_train_only,tabred_sberbank__gap_far,TabReD_gap,1,1,0,0,False,True,False
bag8,freq_enc_train_only,tabred_sberbank__gap_near,TabReD_gap,1,0,0,1,False,False,False
bag8,freq_enc_train_only,tabred_weather,TabReD,1,0,1,0,False,True,False
bag8,freq_enc_train_only,tabred_weather__gap_far,TabReD_gap,1,0,1,0,False,True,False
bag8,freq_enc_train_only,tabred_weather__gap_maxdiff,TabReD_gap,1,0,1,0,False,True,False
bag8,freq_enc_train_only,tabred_weather__gap_near,TabReD_gap,1,0,1,0,False,True,False
bag8,freq_enc_train_only,taiwanese_bankruptcy_prediction,TabArena_IID,3,0,3,0,False,True,False
bag8,freq_enc_train_only,tschalzev_mbgm,tschalzev_IID,1,1,0,0,False,True,False
bag8,freq_enc_train_only,tschalzev_ogpcc,tschalzev_IID,1,0,1,0,False,True,False
bag8,freq_enc_train_only,tschalzev_sctp,tschalzev_IID,1,0,1,0,False,True,False
bag8,freq_enc_train_only,website_phishing,TabArena_IID,3,1,0,2,False,False,True
bag8,freq_enc_train_only,wine_quality,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,Amazon_employee_access,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined,Another-Dataset-on-used-Fiat-500,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,Bank_Customer_Churn,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_combined,Bioresponse,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,Diabetes130US,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined,E-CommereShippingData,TabArena_IID,3,1,0,2,False,False,True
