model,method_key,method_role,estimator,near_perfect_policy,n_tabarena_datasets,datasets_with_any_positive_fold,datasets_all_folds_positive,datasets_all_folds_nonnegative,datasets_mixed_positive_negative
bag8,adversarial_lgbm_both_ratio,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,45,27,1,1,26
bag8,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,45,27,6,6,21
bag8,adversarial_lgbm_cal_iso_feature,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,45,18,5,5,13
bag8,adversarial_lgbm_cal_platt_feature,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,45,23,0,0,23
bag8,adversarial_lgbm_feature,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,45,27,3,3,24
bag8,adversarial_logreg_feature,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,45,18,1,1,17
bag8,adversarial_reweight_lgbm_cal_iso_ratio_hard,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,45,41,3,3,38
bag8,adversarial_reweight_lgbm_cal_iso_ratio_hard_tempered,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,45,36,9,9,27
bag8,adversarial_reweight_lgbm_cal_iso_ratio_winsorize,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,45,44,6,6,38
bag8,adversarial_reweight_lgbm_ratio_hard,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,45,39,7,7,32
bag8,adversarial_reweight_lgbm_ratio_hard_tempered,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,45,43,9,9,34
bag8,adversarial_reweight_lgbm_ratio_normalize,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,45,37,3,3,34
bag8,adversarial_reweight_lgbm_ratio_winsorize,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,45,39,8,8,31
bag8,adversarial_reweight_lgbm_ratio_winsorize_tempered,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,45,40,3,3,37
bag8,adversarial_reweight_lgbm_raw_hard,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,45,40,5,5,35
bag8,adversarial_rf_feature,test_time_variant,fold_level_rel_lift_pct,dataset_level_near_perfect_base_mask,45,23,4,4,19
