model,method_key,dataset,dataset_lift_pct,variant_mean_all_pct,variant_mean_without_dataset_pct,mean_change_when_removed_pct,influence_direction
bag8,adversarial_lgbm_both_ratio,maternal_health_risk,-50.918292358822406,-2.3946999101173096,-1.823834116603131,0.5708657935141785,pulls_mean_down
bag8,adversarial_lgbm_both_ratio,airfoil_self_noise,-32.50498430823321,-2.3946999101173096,-2.040461270139475,0.3542386399778348,pulls_mean_down
bag8,adversarial_lgbm_both_ratio,website_phishing,-27.291398521966272,-2.3946999101173096,-2.1017975735073215,0.2929023366099881,pulls_mean_down
bag8,adversarial_lgbm_both_ratio,concrete_compressive_strength,-11.018595166206133,-2.3946999101173096,-2.2932423188692055,0.10145759124810416,pulls_mean_down
bag8,adversarial_lgbm_both_ratio,synthetic_shift_5.0,-9.970056122625948,-2.3946999101173096,-2.3055780723230894,0.08912183779422023,pulls_mean_down
bag8,adversarial_lgbm_both_ratio,diabetes,-9.957458597759295,-2.3946999101173096,-2.3057262784979917,0.08897363161931793,pulls_mean_down
bag8,adversarial_lgbm_both_ratio,seismic-bumps,-9.463135096691923,-2.3946999101173096,-2.311541849098784,0.08315806101852585,pulls_mean_down
bag8,adversarial_lgbm_both_ratio,diabetes_hospital,-8.073477423842792,-2.3946999101173096,-2.327890762897009,0.06680914722030051,pulls_mean_down
bag8,adversarial_lgbm_both_ratio,polish_companies_bankruptcy,-7.5343383459643904,-2.3946999101173096,-2.3342335755779313,0.06046633453937833,pulls_mean_down
bag8,adversarial_lgbm_both_ratio,synthetic_shift_3.0,-6.6258892085862415,-2.3946999101173096,-2.344921212488263,0.04977869762904685,pulls_mean_down
bag8,adversarial_lgbm_both_ratio,in_vehicle_coupon_recommendation,-5.884591934511051,-2.3946999101173096,-2.3536423568891474,0.04105755322816229,pulls_mean_down
bag8,adversarial_lgbm_both_ratio,credit-g,-4.93036808013462,-2.3946999101173096,-2.3648685198818113,0.0298313902354983,pulls_mean_down
bag8,adversarial_lgbm_both_ratio,tabred_homesite,-4.7441184196861,-2.3946999101173096,-2.3670596923576763,0.027640217759633323,pulls_mean_down
bag8,adversarial_lgbm_both_ratio,MIC,-4.414702119125422,-2.3946999101173096,-2.3709351782466257,0.023764731870683953,pulls_mean_down
bag8,adversarial_lgbm_both_ratio,lending_club,-3.4645534636475843,-2.3946999101173096,-2.382113397722835,0.012586512394474614,pulls_mean_down
bag8,adversarial_lgbm_both_ratio,hazelnut-spread-contaminant-detection,-2.8034743309089487,-2.3946999101173096,-2.3898907992844665,0.004809110832843189,pulls_mean_down
bag8,adversarial_lgbm_both_ratio,QSAR-TID-11,-1.861577703806099,-2.3946999101173096,-2.400971936073912,-0.006272025956602256,pulls_mean_up
bag8,adversarial_lgbm_both_ratio,jm1,-1.834641963577991,-2.3946999101173096,-2.4012888271354185,-0.00658891701810882,pulls_mean_up
bag8,adversarial_lgbm_both_ratio,miami_housing,-1.7593934033194658,-2.3946999101173096,-2.4021741043149305,-0.007474194197620854,pulls_mean_up
bag8,adversarial_lgbm_both_ratio,shifts_weather,-1.692076160885349,-2.3946999101173096,-2.402966071872979,-0.008266161755669188,pulls_mean_up
bag8,adversarial_lgbm_both_ratio,tschalzev_ogpcc,-1.5900556002368524,-2.3946999101173096,-2.404166313762962,-0.00946640364565221,pulls_mean_up
bag8,adversarial_lgbm_both_ratio,synthetic_shift_1.0,-1.540144449312778,-2.3946999101173096,-2.404753503773833,-0.010053593656523141,pulls_mean_up
bag8,adversarial_lgbm_both_ratio,Amazon_employee_access,-1.431181967299222,-2.3946999101173096,-2.406035415326934,-0.01133550520962423,pulls_mean_up
bag8,adversarial_lgbm_both_ratio,Another-Dataset-on-used-Fiat-500,-1.4230938284799353,-2.3946999101173096,-2.4061305699012783,-0.011430659783968622,pulls_mean_up
bag8,adversarial_lgbm_both_ratio,Marketing_Campaign,-1.3988258466287622,-2.3946999101173096,-2.4064160755701156,-0.01171616545280596,pulls_mean_up
bag8,adversarial_lgbm_both_ratio,folktables_coverage_covid,-1.3855072334644365,-2.3946999101173096,-2.4065727651367546,-0.011872855019444906,pulls_mean_up
bag8,adversarial_lgbm_both_ratio,physiochemical_protein,-1.280638053257816,-2.3946999101173096,-2.4078065201980086,-0.01310661008069891,pulls_mean_up
