model,method_key,complete_five_levels,effect_shift_0_0_pct,effect_shift_0_5_pct,effect_shift_1_0_pct,effect_shift_3_0_pct,effect_shift_5_0_pct,shift5_minus_shift0_pct,endpoint_direction,strictly_increasing,strictly_decreasing,nondecreasing,nonincreasing,exceeds_baseline_at_every_level,exceeds_baseline_at_any_level,below_baseline_at_every_level
bag8,adversarial_lgbm_both_ratio,True,-0.185762413022212,-0.5652048875859474,-1.540144449312778,-6.6258892085862415,-9.970056122625948,-9.784293709603736,smaller_benefit,False,True,False,True,False,False,True
bag8,adversarial_lgbm_cal_iso_both_ratio,True,0.0159147618148439,-0.3489213588757633,-1.2289504666183542,-6.725491188961094,-9.45152128420587,-9.467436046020714,smaller_benefit,False,True,False,True,False,True,False
bag8,adversarial_lgbm_cal_iso_feature,True,0.0751380099283471,-0.2807948564205183,-0.3266902515060439,-0.5327663889396692,-1.1253219010482585,-1.2004599109766056,smaller_benefit,False,True,False,True,False,True,False
bag8,adversarial_lgbm_cal_platt_feature,True,0.0236302645802897,-0.2879600676265302,-0.174481563494858,-0.4966865244598522,-1.0531465357030916,-1.0767768002833813,smaller_benefit,False,False,False,False,False,True,False
bag8,adversarial_lgbm_feature,True,-0.1553103649129035,-0.2284806723312852,-0.4018431406649307,-0.4736660969804179,-0.5190920808121577,-0.36378171589925423,smaller_benefit,False,True,False,True,False,False,True
bag8,adversarial_logreg_feature,True,-0.1649034980006347,-0.1068512121093814,-0.1313569729315484,-0.1132795217964033,-1.1988778967976246,-1.0339743987969898,smaller_benefit,False,False,False,False,False,False,True
bag8,adversarial_reweight_lgbm_cal_iso_ratio_hard,True,0.1194550050901722,-0.2256960107035173,-0.8974908971464198,-6.348019573623656,-7.312983007517039,-7.432438012607211,smaller_benefit,False,True,False,True,False,True,False
bag8,adversarial_reweight_lgbm_cal_iso_ratio_hard_tempered,True,0.0586574992391178,0.0462318968497021,-0.4705245310351224,-6.348019573623656,-7.312983007517039,-7.371640506756156,smaller_benefit,False,True,False,True,False,True,False
bag8,adversarial_reweight_lgbm_cal_iso_ratio_winsorize,True,0.083402863050136,-0.1254400498177519,-0.6879460145322887,-3.4227928541105994,-5.0829571739261175,-5.166360036976253,smaller_benefit,False,True,False,True,False,True,False
bag8,adversarial_reweight_lgbm_ratio_hard,True,0.0081172664588767,-0.3827037012549371,-1.072751288659298,-5.65528300584494,-7.911319946707671,-7.919437213166548,smaller_benefit,False,True,False,True,False,True,False
bag8,adversarial_reweight_lgbm_ratio_hard_tempered,True,0.1975529475352714,-0.011309634505781,-0.3754914545304226,-5.65528300584494,-7.911319946707671,-8.108872894242943,smaller_benefit,False,True,False,True,False,True,False
bag8,adversarial_reweight_lgbm_ratio_normalize,True,0.0081172664588767,-0.3827037012549371,-1.3157857760471448,-7.890047464872429,-9.360765627758951,-9.368882894217828,smaller_benefit,False,True,False,True,False,True,False
bag8,adversarial_reweight_lgbm_ratio_winsorize,True,0.0633228776382466,-0.2710485407232639,-0.7911848872678336,-2.719857563383254,-5.202523093746634,-5.265845971384881,smaller_benefit,False,True,False,True,False,True,False
bag8,adversarial_reweight_lgbm_ratio_winsorize_tempered,True,0.1281462196824775,0.0880018212664427,-0.3066013061347318,-2.719857563383254,-5.202523093746634,-5.330669313429111,smaller_benefit,False,True,False,True,False,True,False
bag8,adversarial_reweight_lgbm_raw_hard,True,0.0382741412424942,-0.0162194326390176,-0.44804289752604,-1.7780169894716664,-4.156845269506953,-4.195119410749448,smaller_benefit,False,True,False,True,False,True,False
bag8,adversarial_rf_feature,True,-0.1386002749703294,-0.1278013126015167,-0.286432069215168,-0.2493100409399268,-0.3646694018119473,-0.2260691268416179,smaller_benefit,False,False,False,False,False,False,True
bag8,cluster_membership_k10_both,True,0.0726864314725886,-0.1852207096750578,-1.3950335341665625,-5.24558279203632,-4.326671126269245,-4.399357557741833,smaller_benefit,False,False,False,False,False,True,False
bag8,cluster_membership_k10_both_cumshift,True,0.1421423548797309,-0.3985323041918566,-0.6383900709544763,-5.745993791854247,-3.6984676582753866,-3.8406100131551173,smaller_benefit,False,False,False,False,False,True,False
bag8,cluster_membership_k10_feature,True,-0.0236794601345049,0.0267962614533703,-0.6494622754576665,-1.066325219444912,-0.7782929636171662,-0.7546135034826612,smaller_benefit,False,False,False,False,False,True,False
bag8,cluster_membership_k10_feature_cumshift,True,0.1357141357850112,-0.0346535669235413,0.0398246079303605,0.177459364190834,-0.7615091554509268,-0.897223291235938,smaller_benefit,False,False,False,False,False,True,False
bag8,cluster_membership_k10_weight,True,-0.0176530047332606,-0.0258517563398286,-0.7788521054572013,-5.279768721174448,-6.72150763509408,-6.703854630360819,smaller_benefit,False,True,False,True,False,False,True
bag8,cluster_membership_k15_both,True,-0.0294517385052301,-0.711415907615671,-0.6944335716306342,-6.676732259432399,-5.597400023437464,-5.567948284932234,smaller_benefit,False,False,False,False,False,False,True
bag8,cluster_membership_k5_both,True,-0.0660122346063488,-0.2563517154655036,-0.997911536538571,-5.55297087531588,-6.4634046029719,-6.3973923683655505,smaller_benefit,False,True,False,True,False,False,True
bag8,cluster_membership_k5_feature,True,0.0281480563165064,0.1750754219902515,-0.3879687611279527,-0.61227205121197,-0.5189091056983531,-0.5470571620148595,smaller_benefit,False,False,False,False,False,True,False
bag8,freq_ratio_log,True,0.0960461205042284,0.0449454157467407,0.0268414645788663,-0.0364206143530085,-0.0163762726855115,-0.1124223931897399,smaller_benefit,False,False,False,False,False,True,False
bag8,freq_ratio_log__sel_combined_intersection,True,0.1573683789344074,0.0589175775983923,0.0361793716399509,0.064441348111082,0.0015552884672568,-0.15581309046715058,smaller_benefit,False,False,False,False,True,True,False
