model,method_key,method_role,family,source_dataset,n_windows_execution,n_windows_relative,low_window,low_mean_ks,low_lift_pct,high_window,high_mean_ks,high_lift_pct,high_minus_low_lift_pct,direction,monotonicity,sibling_sign_consistency,window_sequence,mean_ks_sequence,lift_sequence_pct,absolute_effect_sequence,inference_status
bag8,adversarial_lgbm_both_ratio,test_time_variant,M6_adversarial,tabred_delivery_eta,3,3,tabred_delivery_eta__gap_near,0.1571228260314691,0.6774057488018562,tabred_delivery_eta__gap_maxdiff,0.2496496029927623,0.3205804376043019,-0.35682531119755434,higher_shift_more_harmful,nonmonotonic,mixed_or_tied,tabred_delivery_eta__gap_near;tabred_delivery_eta__gap_far;tabred_delivery_eta__gap_maxdiff,0.157123;0.237934;0.249650,0.677406;-0.329049;0.320580,0.00389054524;-0.00183482999;0.00177408263,descriptive_exact_variant_no_ci_across_variants
bag8,adversarial_lgbm_both_ratio,test_time_variant,M6_adversarial,tabred_homesite,2,2,tabred_homesite__gap_near,0.0437974647176086,0.2690821113507203,tabred_homesite__gap_far,0.0830990647492541,2.247505884990377,1.9784237736396566,higher_shift_more_helpful,not_assessed_two_windows,all_positive,tabred_homesite__gap_near;tabred_homesite__gap_far,0.043797;0.083099,0.269082;2.247506,0.00012368453;0.00233847845,descriptive_exact_variant_no_ci_across_variants
bag8,adversarial_lgbm_both_ratio,test_time_variant,M6_adversarial,tabred_sberbank,2,2,tabred_sberbank__gap_near,0.2265311490062835,2.294468267929372,tabred_sberbank__gap_far,0.235749592588427,-0.3764115294078005,-2.6708797973371725,higher_shift_more_harmful,not_assessed_two_windows,mixed_or_tied,tabred_sberbank__gap_near;tabred_sberbank__gap_far,0.226531;0.235750,2.294468;-0.376412,0.00568560678;-0.00135228397,descriptive_exact_variant_no_ci_across_variants
bag8,adversarial_lgbm_both_ratio,test_time_variant,M6_adversarial,tabred_weather,3,3,tabred_weather__gap_near,0.0948655339805825,-0.1560339887145518,tabred_weather__gap_maxdiff,0.2280292319342118,0.1634622660800002,0.319496254794552,higher_shift_more_helpful,strictly_increasing,mixed_or_tied,tabred_weather__gap_near;tabred_weather__gap_far;tabred_weather__gap_maxdiff,0.094866;0.101202;0.228029,-0.156034;-0.152982;0.163462,-0.00259484544;-0.00251241604;0.00293271931,descriptive_exact_variant_no_ci_across_variants
bag8,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,tabred_delivery_eta,3,3,tabred_delivery_eta__gap_near,0.1571228260314691,0.4127653935758559,tabred_delivery_eta__gap_maxdiff,0.2496496029927623,-0.0407225889980789,-0.4534879825739348,higher_shift_more_harmful,nonmonotonic,mixed_or_tied,tabred_delivery_eta__gap_near;tabred_delivery_eta__gap_far;tabred_delivery_eta__gap_maxdiff,0.157123;0.237934;0.249650,0.412765;-1.391707;-0.040723,0.00237063597;-0.00776037041;-0.0002253576,descriptive_exact_variant_no_ci_across_variants
bag8,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,tabred_homesite,2,2,tabred_homesite__gap_near,0.0437974647176086,-0.3145192222582668,tabred_homesite__gap_far,0.0830990647492541,0.0758596778438963,0.3903789001021631,higher_shift_more_helpful,not_assessed_two_windows,mixed_or_tied,tabred_homesite__gap_near;tabred_homesite__gap_far,0.043797;0.083099,-0.314519;0.075860,-0.000144569856;7.8930259e-05,descriptive_exact_variant_no_ci_across_variants
bag8,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,tabred_sberbank,2,2,tabred_sberbank__gap_near,0.2265311490062835,-11.581842707101666,tabred_sberbank__gap_far,0.235749592588427,-21.813503533814675,-10.231660826713009,higher_shift_more_harmful,not_assessed_two_windows,all_negative,tabred_sberbank__gap_near;tabred_sberbank__gap_far,0.226531;0.235750,-11.581843;-21.813504,-0.0286993742;-0.078366492,descriptive_exact_variant_no_ci_across_variants
bag8,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,tabred_weather,3,3,tabred_weather__gap_near,0.0948655339805825,0.0032070477814385,tabred_weather__gap_maxdiff,0.2280292319342118,-0.0230548970667896,-0.0262619448482281,higher_shift_more_harmful,nonmonotonic,mixed_or_tied,tabred_weather__gap_near;tabred_weather__gap_far;tabred_weather__gap_maxdiff,0.094866;0.101202;0.228029,0.003207;-0.153895;-0.023055,5.33332089e-05;-0.00252741851;-0.000413633945,descriptive_exact_variant_no_ci_across_variants
bag8,adversarial_lgbm_cal_iso_feature,test_time_variant,M6_adversarial,tabred_delivery_eta,3,3,tabred_delivery_eta__gap_near,0.1571228260314691,0.3744417836918371,tabred_delivery_eta__gap_maxdiff,0.2496496029927623,-0.0407225889980789,-0.415164372689916,higher_shift_more_harmful,strictly_decreasing,mixed_or_tied,tabred_delivery_eta__gap_near;tabred_delivery_eta__gap_far;tabred_delivery_eta__gap_maxdiff,0.157123;0.237934;0.249650,0.374442;0.000000;-0.040723,0.00215053194;0;-0.0002253576,descriptive_exact_variant_no_ci_across_variants
bag8,adversarial_lgbm_cal_iso_feature,test_time_variant,M6_adversarial,tabred_homesite,2,2,tabred_homesite__gap_near,0.0437974647176086,-0.3145192222582668,tabred_homesite__gap_far,0.0830990647492541,0.0758596778438963,0.3903789001021631,higher_shift_more_helpful,not_assessed_two_windows,mixed_or_tied,tabred_homesite__gap_near;tabred_homesite__gap_far,0.043797;0.083099,-0.314519;0.075860,-0.000144569856;7.8930259e-05,descriptive_exact_variant_no_ci_across_variants
bag8,adversarial_lgbm_cal_iso_feature,test_time_variant,M6_adversarial,tabred_sberbank,2,2,tabred_sberbank__gap_near,0.2265311490062835,-11.581842707101666,tabred_sberbank__gap_far,0.235749592588427,-21.813503533814675,-10.231660826713009,higher_shift_more_harmful,not_assessed_two_windows,all_negative,tabred_sberbank__gap_near;tabred_sberbank__gap_far,0.226531;0.235750,-11.581843;-21.813504,-0.0286993742;-0.078366492,descriptive_exact_variant_no_ci_across_variants
bag8,adversarial_lgbm_cal_iso_feature,test_time_variant,M6_adversarial,tabred_weather,3,3,tabred_weather__gap_near,0.0948655339805825,0.0032070477814385,tabred_weather__gap_maxdiff,0.2280292319342118,-0.0230548970667896,-0.0262619448482281,higher_shift_more_harmful,nonmonotonic,mixed_or_tied,tabred_weather__gap_near;tabred_weather__gap_far;tabred_weather__gap_maxdiff,0.094866;0.101202;0.228029,0.003207;-0.153895;-0.023055,5.33332089e-05;-0.00252741851;-0.000413633945,descriptive_exact_variant_no_ci_across_variants
