model,family,aggregation,n_variants,execution_n_datasets,near_perfect_datasets_masked,selection_rule,estimator,n_datasets,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent,t_p_positive_bh,t_p_positive_holm,t_p_negative_bh,t_p_negative_holm,sign_p_positive_bh,sign_p_positive_holm,sign_p_negative_bh,sign_p_negative_holm,positive_mean_ci,negative_mean_ci,reliable_positive_strict,consistently_harmful_strict,never_exceeds_inductive,strict_reliability_criteria_applicable,result_scope
bag8,M7_pseudo_label,best_variant_ceiling,9,65,6,label_selected_best_variant_per_dataset,masked_lift_pct_from_means,59,1.006297474896025,0.2808254420021185,0.0753241340077702,0.7740931664703651,0.9636568200429461,-0.1857912452185737,2.198386195010624,42,5,12,0.7777777777777778,0.644000905786652,0.8795642174089012,0.048223057943724175,0.9517769420562758,2.604723600396763e-05,0.9999929934712719,-1.1792617851362164,4.507809327969615,-20.59251603737078,17.879161528976564,True,0.12859482118326446,0.530453637380966,0.9999999562273778,1.0,6.945929601058035e-05,0.00030373595467068394,0.9999999999999999,1.0,False,False,False,False,False,False,secondary_descriptive_family_composite
bag8,M6_adversarial,best_variant_ceiling,16,92,6,label_selected_best_variant_per_dataset,masked_lift_pct_from_means,86,0.9516546438076449,0.2923616734717252,0.1833995803300099,0.6431836930863704,0.9601463714394649,0.6284542854300248,1.274855002185265,78,0,8,0.9069767441860465,0.8249107859703174,0.9589781407261813,4.377262216555127e-08,0.9999999562273778,7.617916049636712e-16,0.9999999999999999,0.0015539217764609843,2.236090096550031,-0.3646694018119473,6.878205037369422,True,7.003619546488203e-07,7.003619546488203e-07,0.9999999562273778,1.0,1.2188665679418739e-14,1.2188665679418739e-14,0.9999999999999999,1.0,True,False,False,False,False,False,secondary_descriptive_family_composite
bag8,M4_target_encoding,best_variant_ceiling,10,92,6,label_selected_best_variant_per_dataset,masked_lift_pct_from_means,86,0.7720075907037894,0.14093330596629586,0.0,0.2963997455714787,0.9601463714394649,0.37877232768157687,1.165242853726002,52,27,7,0.8813559322033898,0.7707074510425076,0.9509442093582362,9.467544113316323e-05,0.9999053245588668,6.794958901101822e-10,0.999999999912304,0.0,1.8467958219734988,-0.1563459938496385,12.196546797140387,True,0.0007574035290653058,0.0014201316169974484,0.9999999562273778,1.0,3.6239780805876385e-09,9.51294246154255e-09,0.9999999999999999,1.0,True,False,False,False,False,False,secondary_descriptive_family_composite
bag8,M8_label_prop,best_variant_ceiling,11,92,6,label_selected_best_variant_per_dataset,masked_lift_pct_from_means,86,0.6259059150512764,0.04309018308151545,-0.1750926269578749,0.2687573303606769,0.9601463714394649,-0.9890272744620393,2.240839104564592,47,0,39,0.5465116279069767,0.43548671342932443,0.6542410824501448,0.22154015068924465,0.7784598493107553,0.2252737880007951,0.8340828227000422,-2.3062718360074497,3.3537312463083433,-23.108346447564,41.26010484798074,True,0.5063774872897021,1.0,0.9999999562273778,1.0,0.3003650506677268,1.0,0.9999999999999999,1.0,False,False,False,False,False,False,secondary_descriptive_family_composite
bag8,M20_cluster_membership,best_variant_ceiling,8,92,6,label_selected_best_variant_per_dataset,masked_lift_pct_from_means,86,0.5996772796265983,0.2381949030398541,0.1363343301811361,0.3882592601874233,0.9601463714394649,0.20974845944372716,0.9896060998094696,71,0,15,0.8255813953488372,0.7286908061567379,0.8989623782865992,0.0014904832593466409,0.9985095167406534,3.538028595472418e-10,0.9999999999277492,-0.053457932538956046,2.0120262577572667,-7.181442756308307,10.149817620047148,True,0.004769546429909251,0.017885799112159692,0.9999999562273778,1.0,2.8304228763779343e-09,5.307042893208627e-09,0.9999999999999999,1.0,True,False,False,False,False,False,secondary_descriptive_family_composite
bag8,M1_joint_freq,best_variant_ceiling,2,92,6,label_selected_best_variant_per_dataset,masked_lift_pct_from_means,86,0.5528065806309018,0.0,0.0,0.05549817893034,0.9601463714394649,0.22653919159114455,0.8790739696706591,41,32,13,0.7592592592592593,0.6235947541659905,0.8651365787275388,0.0005682999752388796,0.9994317000247611,8.756336720294743e-05,0.999973952763996,-0.01332347107506,1.550170488478154,-1.2988196123300888,8.753469086311608,True,0.0030309332012740248,0.007956199653344315,0.9999999562273778,1.0,0.00020014483932102268,0.0008756336720294743,0.9999999999999999,1.0,True,False,False,False,False,False,secondary_descriptive_family_composite
bag8,M2_freq_ratio,best_variant_ceiling,5,92,6,label_selected_best_variant_per_dataset,masked_lift_pct_from_means,86,0.40019092021897507,0.0239317622545035,0.0,0.0806574797803118,0.9601463714394649,0.14708657799396363,0.6532952624439865,45,36,5,0.9,0.7818646335657977,0.9667249064109775,0.0011488850955964575,0.9988511149044035,2.104926011270436e-09,0.9999999997769109,0.0,1.3096655390888792,-0.0458657436463258,9.312337679399509,True,0.00459554038238583,0.014935506242753947,0.9999999562273778,1.0,8.419704045081744e-09,2.7364038146515668e-08,0.9999999999999999,1.0,True,False,False,False,False,False,secondary_descriptive_family_composite
bag8,M9_ot_displacement,best_variant_ceiling,9,92,6,label_selected_best_variant_per_dataset,masked_lift_pct_from_means,86,0.2775929951217314,0.0321997972251897,-0.0020055008021932,0.1363109672006519,0.9601463714394649,-1.0948250009622282,1.6500109912056908,49,3,34,0.5903614457831325,0.4769276348778713,0.6971529622270107,0.34428852653711234,0.6557114734628877,0.06192652973090074,0.9607901875920962,-2.2409475285926965,2.2109202648546136,-22.37777600059912,46.76840379246247,True,0.6885770530742247,1.0,0.9999999562273778,1.0,0.09467467659572915,0.43348570811630516,0.9999999999999999,1.0,False,False,False,False,False,False,secondary_descriptive_family_composite
bag8,M14_groupby,best_variant_ceiling,11,92,6,label_selected_best_variant_per_dataset,masked_lift_pct_from_means,86,0.09257520103746326,0.08150253572757825,0.0079114928099625,0.1368718186054749,0.9601463714394649,-1.2972598087978122,1.4824102108727386,54,13,19,0.7397260273972602,0.6237624620315547,0.8354552207755768,0.4474761923783761,0.5525238076216239,2.5311329555890327e-05,0.9999915431914486,-0.2523240274253902,1.5642815692022407,-54.98992447921428,15.728216516485702,True,0.7159619078054018,1.0,0.9999999562273778,1.0,6.945929601058035e-05,0.00030373595467068394,0.9999999999999999,1.0,False,False,False,False,False,False,secondary_descriptive_family_composite
bag8,M5_joint_scaling,best_variant_ceiling,1,92,6,label_selected_best_variant_per_dataset,masked_lift_pct_from_means,86,0.015710749956043133,7.2083957328516345e-06,0.0,0.0266676611763055,0.9601463714394649,-0.11410847394502086,0.14552997385710711,44,12,30,0.5945945945945946,0.47410196045513436,0.7072744508168056,0.405214297445763,0.594785702554237,0.06508884015956379,0.959746571284959,-0.3910516615038034,0.46358775397591245,-3.196198315585136,1.8106038803576228,True,0.7159619078054018,1.0,0.9999999562273778,1.0,0.09467467659572915,0.43348570811630516,0.9999999999999999,1.0,False,False,False,False,False,False,secondary_descriptive_family_composite
