model,method_key,method_role,n_datasets_ranked,model_roster_datasets,coverage_pct,mean_normalized_rank,median_normalized_rank,mean_raw_rank,rank_points_sum_observed,tied_best_datasets,unique_best_datasets,rank_status,mean_lift_pct,median_lift_pct,win_rate_decided,reliable_positive_strict
bag8,joint_freq_combined,test_time_variant,92,92,100.0,0.29600948025353974,0.2934027777777778,42.40760869565217,3901.5,0,0,descriptive_coverage_normalized,0.45576157796602385,0.0,0.6727272727272727,False
bag8,target_enc_oof_absolute,test_time_variant,92,92,100.0,0.2994463788578057,0.27598566308243727,42.90760869565217,3947.5,3,3,descriptive_coverage_normalized,-0.06845156332161566,0.0,0.6885245901639344,False
bag8,target_enc_oof_inv_ratio,test_time_variant,92,92,100.0,0.3020228341880136,0.27911745406824146,43.26086956521739,3980.0,0,0,descriptive_coverage_normalized,-0.032486305859179665,0.0,0.6721311475409836,False
bag8,joint_freq_separate,test_time_variant,92,92,100.0,0.3023561010816537,0.2969383617193836,43.19565217391305,3974.0,1,1,descriptive_coverage_normalized,0.3652969474976059,0.0,0.6481481481481481,False
bag8,joint_freq_combined__sel_combined_union,test_time_variant,92,92,100.0,0.3065490310815661,0.2813657407407407,43.91304347826087,4040.0,0,0,descriptive_coverage_normalized,0.26957770140443704,0.00032565577135125,0.5822784810126582,False
bag8,joint_freq_separate__sel_combined_union,test_time_variant,92,92,100.0,0.3082753151295584,0.2899939172749392,44.141304347826086,4061.0,0,0,descriptive_coverage_normalized,0.18787984060933588,0.0005244323971029499,0.5949367088607594,False
bag8,target_enc_diff,test_time_variant,92,92,100.0,0.31053379784979823,0.294957504145937,44.34239130434783,4079.5,0,0,descriptive_coverage_normalized,-0.9926627661932496,0.0,0.6545454545454545,False
bag8,freq_enc_train_only,train_only_version,92,92,100.0,0.31126409668455407,0.3074074074074074,44.54347826086956,4098.0,0,0,descriptive_coverage_normalized,0.3927049037552501,0.0,0.6415094339622641,False
bag8,target_enc_inv_ratio,test_time_variant,92,92,100.0,0.31223591178426124,0.28444152814231555,44.59782608695652,4103.0,1,1,descriptive_coverage_normalized,-0.7928737934512223,0.0,0.6363636363636364,False
bag8,target_enc_standard_m10,train_only_version,92,92,100.0,0.31254688906970374,0.294957504145937,44.630434782608695,4106.0,0,0,descriptive_coverage_normalized,-0.9686085993709391,0.0,0.6428571428571429,False
